Type,id,location,storage--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,storage--min_storage_level,storage--can_retire,storage--can_expand,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--constraints--StorageMinDurationConstraint,storage--max_duration,storage--lifetime,storage--wacc,storage--capital_recovery_period,storage--fixed_om_cost,storage--variable_om_cost,storage--long_duration,storage--max_storage_level,storage--charge_discharge_ratio,storage--investment_cost,storage--loss_fraction,storage--capacity_size,storage--min_duration,storage--existing_capacity,edges--discharge_edge--can_retire,edges--discharge_edge--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--lifetime,edges--discharge_edge--wacc,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--end_vertex,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--has_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--charge_edge--can_retire,edges--charge_edge--can_expand,edges--charge_edge--start_vertex,edges--charge_edge--fixed_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--has_capacity,edges--charge_edge--efficiency,edges--charge_edge--capacity_size,edges--charge_edge--existing_capacity,Note
Battery,Region1Beijing_battery,Region1Beijing,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,178.96,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region1Beijing,500000,1,TRUE,0.95,1,89.48,FALSE,FALSE,elec_Region1Beijing,0,0,1,FALSE,0.88,1,89.48,WIP
Battery,Region2Tianjin_battery,Region2Tianjin,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,43.72,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region2Tianjin,500000,1,TRUE,0.95,1,21.86,FALSE,FALSE,elec_Region2Tianjin,0,0,1,FALSE,0.88,1,21.86,WIP
Battery,Region3Hebei_battery,Region3Hebei,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,9532,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region3Hebei,500000,1,TRUE,0.95,1,4766,FALSE,FALSE,elec_Region3Hebei,0,0,1,FALSE,0.88,1,4766,WIP
Battery,Region4Shanxi_battery,Region4Shanxi,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,3860,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region4Shanxi,500000,1,TRUE,0.95,1,1930,FALSE,FALSE,elec_Region4Shanxi,0,0,1,FALSE,0.88,1,1930,WIP
Battery,Region5Innermongolia_battery,Region5Innermongolia,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,19070,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region5Innermongolia,500000,1,TRUE,0.95,1,9535,FALSE,FALSE,elec_Region5Innermongolia,0,0,1,FALSE,0.88,1,9535,WIP
Battery,Region6Liaoning_battery,Region6Liaoning,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,200,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region6Liaoning,500000,1,TRUE,0.95,1,100,FALSE,FALSE,elec_Region6Liaoning,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region7Jilin_battery,Region7Jilin,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,400,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region7Jilin,500000,1,TRUE,0.95,1,200,FALSE,FALSE,elec_Region7Jilin,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region8Heilongjiang_battery,Region8Heilongjiang,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,200,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region8Heilongjiang,500000,1,TRUE,0.95,1,100,FALSE,FALSE,elec_Region8Heilongjiang,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region9Shanghai_battery,Region9Shanghai,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,6000,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region9Shanghai,500000,1,TRUE,0.95,1,3000,FALSE,FALSE,elec_Region9Shanghai,0,0,1,FALSE,0.88,1,3000,WIP
Battery,Region10Jiangsu_battery,Region10Jiangsu,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,12392,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region10Jiangsu,500000,1,TRUE,0.95,1,6196,FALSE,FALSE,elec_Region10Jiangsu,0,0,1,FALSE,0.88,1,6196,WIP
Battery,Region11Zhejiang_battery,Region11Zhejiang,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,4720,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region11Zhejiang,500000,1,TRUE,0.95,1,2360,FALSE,FALSE,elec_Region11Zhejiang,0,0,1,FALSE,0.88,1,2360,WIP
Battery,Region12Anhui_battery,Region12Anhui,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,5578,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region12Anhui,500000,1,TRUE,0.95,1,2789,FALSE,FALSE,elec_Region12Anhui,0,0,1,FALSE,0.88,1,2789,WIP
Battery,Region13Fujian_battery,Region13Fujian,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,1200,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region13Fujian,500000,1,TRUE,0.95,1,600,FALSE,FALSE,elec_Region13Fujian,0,0,1,FALSE,0.88,1,600,WIP
Battery,Region14Jiangxi_battery,Region14Jiangxi,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,0,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region14Jiangxi,500000,1,TRUE,0.95,1,0,FALSE,FALSE,elec_Region14Jiangxi,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region15Shandong_battery,Region15Shandong,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,15868,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region15Shandong,500000,1,TRUE,0.95,1,7934,FALSE,FALSE,elec_Region15Shandong,0,0,1,FALSE,0.88,1,7934,WIP
Battery,Region16Henan_battery,Region16Henan,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,15,0.08,15,5000,0,FALSE,1,1,102713.7443,0,1,2,0,TRUE,TRUE,TRUE,TRUE,15,0.08,15,10000,elec_Region16Henan,500000,1,TRUE,0.95,1,0,FALSE,FALSE,elec_Region16Henan,0,0,1,FALSE,0.88,1,0,WIP
