Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinCapacityConstraint,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--min_capacity,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,Region1Beijing_coal,Region1Beijing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,0,0,8,200,0.6,elec_Region1Beijing,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region1Beijing,2.64097,0.32753,WIP
ThermalPower,Region2Tianjin_coal,Region2Tianjin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,5325.6,13314,8,200,0.6,elec_Region2Tianjin,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region2Tianjin,2.64097,0.32753,WIP
ThermalPower,Region3Hebei_coal,Region3Hebei,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,22001.6,55004,8,200,0.6,elec_Region3Hebei,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region3Hebei,2.64097,0.32753,WIP
ThermalPower,Region4Shanxi_coal,Region4Shanxi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,29342.8,73357,8,200,0.6,elec_Region4Shanxi,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region4Shanxi,2.64097,0.32753,WIP
ThermalPower,Region5Innermongolia_coal,Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,48736,121840,8,200,0.6,elec_Region5Innermongolia,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region5Innermongolia,2.64097,0.32753,WIP
ThermalPower,Region6Liaoning_coal,Region6Liaoning,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,9432,23580,8,200,0.6,elec_Region6Liaoning,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region6Liaoning,2.64097,0.32753,WIP
ThermalPower,Region7Jilin_coal,Region7Jilin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,18044,45110,8,200,0.6,elec_Region7Jilin,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region7Jilin,2.64097,0.32753,WIP
ThermalPower,Region8Heilongjiang_coal,Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,10660,26650,8,200,0.6,elec_Region8Heilongjiang,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region8Heilongjiang,2.64097,0.32753,WIP
ThermalPower,Region9Shanghai_coal,Region9Shanghai,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,6320,15800,8,200,0.6,elec_Region9Shanghai,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region9Shanghai,2.64097,0.32753,WIP
ThermalPower,Region10Jiangsu_coal,Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Coal,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Coal,FALSE,8,40,0.08,40,10278,32236,80590,8,200,0.6,elec_Region10Jiangsu,4.305555556,513888.8889,0.6,0.5,152.7777778,0,coal_Region10Jiangsu,2.64097,0.32753,WIP
