Type,id,location,storage--commodity,storage--can_expand,storage--can_retire,storage--constraints--BalanceConstraint,storage--constraints--MinStorageLevelConstraint,storage--constraints--StorageChargeDischargeRatioConstraint,edges--inflow_edge--type,edges--inflow_edge--unidirectional,edges--inflow_edge--has_capacity,edges--inflow_edge--can_expand,edges--inflow_edge--can_retire,edges--inflow_edge--constraints--MustRunConstraint,edges--discharge_edge--type,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,storage--lifetime,storage--wacc,storage--capital_recovery_period,storage--fixed_om_cost,storage--variable_om_cost,storage--investment_cost,storage--min_storage_level,storage--charge_discharge_ratio,storage--existing_capacity,edges--inflow_edge--efficiency,edges--inflow_edge--start_vertex,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--TDR_path,edges--inflow_edge--availability--timeseries--header,edges--discharge_edge--end_vertex,edges--discharge_edge--existing_capacity,edges--discharge_edge--lifetime,edges--discharge_edge--wacc,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--efficiency,edges--spill_edge--type,edges--spill_edge--unidirectional,edges--spill_edge--end_vertex,edges--spill_edge--can_expand,edges--spill_edge--can_retire,edges--spill_edge--has_capacity,Note
HydroRes,Region1Beijing_Hydropower,Region1Beijing,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region1Beijing_Hydropower,elec_Region1Beijing,892,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region2Tianjin_Hydropower,Region2Tianjin,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region2Tianjin_Hydropower,elec_Region2Tianjin,0,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region3Hebei_Hydropower,Region3Hebei,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region3Hebei_Hydropower,elec_Region3Hebei,5570,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region4Shanxi_Hydropower,Region4Shanxi,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region4Shanxi_Hydropower,elec_Region4Shanxi,1200,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region5Innermongolia_Hydropower,Region5Innermongolia,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region5Innermongolia_Hydropower,elec_Region5Innermongolia,1960,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region6Liaoning_Hydropower,Region6Liaoning,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region6Liaoning_Hydropower,elec_Region6Liaoning,3995,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region7Jilin_Hydropower,Region7Jilin,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region7Jilin_Hydropower,elec_Region7Jilin,5845,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region8Heilongjiang_Hydropower,Region8Heilongjiang,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region8Heilongjiang_Hydropower,elec_Region8Heilongjiang,1296,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region9Shanghai_Hydropower,Region9Shanghai,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region9Shanghai_Hydropower,elec_Region9Shanghai,6343,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
HydroRes,Region10Jiangsu_Hydropower,Region10Jiangsu,Electricity,FALSE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,100,0.08,30,1000,1,1000000,0.3,1,1314293.703,1,hydro_source,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region10Jiangsu_Hydropower,elec_Region10Jiangsu,3275,30,0.08,20,36013.88889,0.1,1000000,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE,WIP
