Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinCapacityConstraint,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--min_capacity,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,Region1Beijing_naturalgas_power,Region1Beijing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,4551.432,11378.58,6,200,1,elec_Region1Beijing,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region1Beijing,1.72818,0.18054,WIP
ThermalPower,Region2Tianjin_naturalgas_power,Region2Tianjin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,1842.704,4606.76,6,200,1,elec_Region2Tianjin,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region2Tianjin,1.72818,0.18054,WIP
ThermalPower,Region3Hebei_naturalgas_power,Region3Hebei,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,1015.54,2538.85,6,200,1,elec_Region3Hebei,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region3Hebei,1.72818,0.18054,WIP
ThermalPower,Region4Shanxi_naturalgas_power,Region4Shanxi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,2219.208,5548.02,6,200,1,elec_Region4Shanxi,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region4Shanxi,1.72818,0.18054,WIP
ThermalPower,Region5Innermongolia_naturalgas_power,Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,279.496,698.74,6,200,1,elec_Region5Innermongolia,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region5Innermongolia,1.72818,0.18054,WIP
ThermalPower,Region6Liaoning_naturalgas_power,Region6Liaoning,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,0,0,6,200,1,elec_Region6Liaoning,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region6Liaoning,1.72818,0.18054,WIP
ThermalPower,Region7Jilin_naturalgas_power,Region7Jilin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,0,0,6,200,1,elec_Region7Jilin,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region7Jilin,1.72818,0.18054,WIP
ThermalPower,Region8Heilongjiang_naturalgas_power,Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,0,0,6,200,1,elec_Region8Heilongjiang,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region8Heilongjiang,1.72818,0.18054,WIP
ThermalPower,Region9Shanghai_naturalgas_power,Region9Shanghai,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,3225.788,8064.47,6,200,1,elec_Region9Shanghai,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region9Shanghai,1.72818,0.18054,WIP
ThermalPower,Region10Jiangsu_naturalgas_power,Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,NaturalGas,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,6,40,0.08,40,10556,7108.104,17770.26,6,200,1,elec_Region10Jiangsu,3.194444444,408333.3333,1,0.3,43.05555556,0,natgas_Region10Jiangsu,1.72818,0.18054,WIP
