Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinCapacityConstraint,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--max_capacity,edges--elec_edge--min_capacity,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,Region1Beijing_nuclear,Region1Beijing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region1Beijing,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region2Tianjin_nuclear,Region2Tianjin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region2Tianjin,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region3Hebei_nuclear,Region3Hebei,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region3Hebei,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region4Shanxi_nuclear,Region4Shanxi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region4Shanxi,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region5Innermongolia_nuclear,Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region5Innermongolia,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region6Liaoning_nuclear,Region6Liaoning,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,8961.403464,1790.064,4475.16,24,200,0.3,elec_Region6Liaoning,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region7Jilin_nuclear,Region7Jilin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region7Jilin,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region8Heilongjiang_nuclear,Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region8Heilongjiang,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region9Shanghai_nuclear,Region9Shanghai,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,0,0,0,24,200,0.3,elec_Region9Shanghai,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
ThermalPower,Region10Jiangsu_nuclear,Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,TRUE,TRUE,Uranium,FALSE,co2_sink_national_period1,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,24,50,0.08,50,40250,10993.59688,2196,5490,24,200,0.3,elec_Region10Jiangsu,1.944444444,2291666.667,0.3,0.5,305.5555556,0,uranium_source,3.03,0,WIP
