Type,id,location,storage--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,storage--max_capacity,storage--min_storage_level,storage--can_retire,storage--can_expand,storage--constraints--MaxCapacityConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--constraints--StorageMinDurationConstraint,storage--max_duration,storage--lifetime,storage--wacc,storage--capital_recovery_period,storage--fixed_om_cost,storage--variable_om_cost,storage--long_duration,storage--max_storage_level,storage--charge_discharge_ratio,storage--investment_cost,storage--loss_fraction,storage--capacity_size,storage--min_duration,storage--existing_capacity,edges--discharge_edge--can_retire,edges--discharge_edge--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--lifetime,edges--discharge_edge--wacc,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--end_vertex,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--has_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--charge_edge--can_retire,edges--charge_edge--can_expand,edges--charge_edge--start_vertex,edges--charge_edge--fixed_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--has_capacity,edges--charge_edge--efficiency,edges--charge_edge--capacity_size,edges--charge_edge--existing_capacity,Note
Battery,Region1Beijing_pumpedhydro,Region1Beijing,Electricity,TRUE,Electricity,TRUE,Electricity,3544,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,7136,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region1Beijing,720000,1,TRUE,0.88,1,892,FALSE,FALSE,elec_Region1Beijing,0,0,1,FALSE,0.88,1,892,WIP
Battery,Region2Tianjin_pumpedhydro,Region2Tianjin,Electricity,TRUE,Electricity,TRUE,Electricity,300,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,0,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region2Tianjin,720000,1,TRUE,0.88,1,0,FALSE,FALSE,elec_Region2Tianjin,0,0,1,FALSE,0.88,1,0,WIP
Battery,Region3Hebei_pumpedhydro,Region3Hebei,Electricity,TRUE,Electricity,TRUE,Electricity,24035,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,38960,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region3Hebei,720000,1,TRUE,0.88,1,4870,FALSE,FALSE,elec_Region3Hebei,0,0,1,FALSE,0.88,1,4870,WIP
Battery,Region4Shanxi_pumpedhydro,Region4Shanxi,Electricity,TRUE,Electricity,TRUE,Electricity,6257,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region4Shanxi,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region4Shanxi,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region5Innermongolia_pumpedhydro,Region5Innermongolia,Electricity,TRUE,Electricity,TRUE,Electricity,9423,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region5Innermongolia,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region5Innermongolia,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region6Liaoning_pumpedhydro,Region6Liaoning,Electricity,TRUE,Electricity,TRUE,Electricity,18885,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,24000,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region6Liaoning,720000,1,TRUE,0.88,1,3000,FALSE,FALSE,elec_Region6Liaoning,0,0,1,FALSE,0.88,1,3000,WIP
Battery,Region7Jilin_pumpedhydro,Region7Jilin,Electricity,TRUE,Electricity,TRUE,Electricity,13959,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,13600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region7Jilin,720000,1,TRUE,0.88,1,1700,FALSE,FALSE,elec_Region7Jilin,0,0,1,FALSE,0.88,1,1700,WIP
Battery,Region8Heilongjiang_pumpedhydro,Region8Heilongjiang,Electricity,TRUE,Electricity,TRUE,Electricity,15027,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region8Heilongjiang,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region8Heilongjiang,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region9Shanghai_pumpedhydro,Region9Shanghai,Electricity,TRUE,Electricity,TRUE,Electricity,16000,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,9600,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region9Shanghai,720000,1,TRUE,0.88,1,1200,FALSE,FALSE,elec_Region9Shanghai,0,0,1,FALSE,0.88,1,1200,WIP
Battery,Region10Jiangsu_pumpedhydro,Region10Jiangsu,Electricity,TRUE,Electricity,TRUE,Electricity,14646,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,50,0.08,50,0,1,FALSE,1,1,12233.48464,0,1,6,26200,FALSE,FALSE,TRUE,TRUE,50,0.08,50,10800,elec_Region10Jiangsu,720000,1,TRUE,0.88,1,3275,FALSE,FALSE,elec_Region10Jiangsu,0,0,1,FALSE,0.88,1,3275,WIP
