Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--TDR_path,Note
VRE,Region1Beijing_PV_Central,Region1Beijing,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region1Beijing_PV_Central,elec_Region1Beijing,81,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region2Tianjin_PV_Central,Region2Tianjin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region2Tianjin_PV_Central,elec_Region2Tianjin,3513,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region3Hebei_PV_Central,Region3Hebei,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region3Hebei_PV_Central,elec_Region3Hebei,42941,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region4Shanxi_PV_Central,Region4Shanxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region4Shanxi_PV_Central,elec_Region4Shanxi,25009,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region5Innermongolia_PV_Central,Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region5Innermongolia_PV_Central,elec_Region5Innermongolia,45027,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region6Liaoning_PV_Central,Region6Liaoning,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region6Liaoning_PV_Central,elec_Region6Liaoning,5421,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region7Jilin_PV_Central,Region7Jilin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region7Jilin_PV_Central,elec_Region7Jilin,3820,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region8Heilongjiang_PV_Central,Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region8Heilongjiang_PV_Central,elec_Region8Heilongjiang,4711,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region9Shanghai_PV_Central,Region9Shanghai,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region9Shanghai_PV_Central,elec_Region9Shanghai,398,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region10Jiangsu_PV_Central,Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region10Jiangsu_PV_Central,elec_Region10Jiangsu,15950,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region11Zhejiang_PV_Central,Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region11Zhejiang_PV_Central,elec_Region11Zhejiang,8339,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region12Anhui_PV_Central,Region12Anhui,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region12Anhui_PV_Central,elec_Region12Anhui,14419,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region13Fujian_PV_Central,Region13Fujian,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region13Fujian_PV_Central,elec_Region13Fujian,765,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region14Jiangxi_PV_Central,Region14Jiangxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region14Jiangxi_PV_Central,elec_Region14Jiangxi,13745,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region15Shandong_PV_Central,Region15Shandong,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region15Shandong_PV_Central,elec_Region15Shandong,25929,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region16Henan_PV_Central,Region16Henan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region16Henan_PV_Central,elec_Region16Henan,6300,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region17Hubei_PV_Central,Region17Hubei,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region17Hubei_PV_Central,elec_Region17Hubei,21478,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region18Hunan_PV_Central,Region18Hunan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region18Hunan_PV_Central,elec_Region18Hunan,4861,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region19Guangdong_PV_Central,Region19Guangdong,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,9236.111111,0,541666.6667,system/vre_availability_1.csv,Region19Guangdong_PV_Central,elec_Region19Guangdong,13733,200,system/TDR_results/vre_availability_1.csv,work in progress
