Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--TDR_path,Note
VRE,Region1Beijing_PV_Distribution,Region1Beijing,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region1Beijing_PV_Distribution,elec_Region1Beijing,1222,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region2Tianjin_PV_Distribution,Region2Tianjin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region2Tianjin_PV_Distribution,elec_Region2Tianjin,3729,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region3Hebei_PV_Distribution,Region3Hebei,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region3Hebei_PV_Distribution,elec_Region3Hebei,29083,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region4Shanxi_PV_Distribution,Region4Shanxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region4Shanxi_PV_Distribution,elec_Region4Shanxi,9759,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region5Innermongolia_PV_Distribution,Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region5Innermongolia_PV_Distribution,elec_Region5Innermongolia,3081,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region6Liaoning_PV_Distribution,Region6Liaoning,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region6Liaoning_PV_Distribution,elec_Region6Liaoning,6718,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region7Jilin_PV_Distribution,Region7Jilin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region7Jilin_PV_Distribution,elec_Region7Jilin,2010,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region8Heilongjiang_PV_Distribution,Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region8Heilongjiang_PV_Distribution,elec_Region8Heilongjiang,2459,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region9Shanghai_PV_Distribution,Region9Shanghai,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region9Shanghai_PV_Distribution,elec_Region9Shanghai,3716,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region10Jiangsu_PV_Distribution,Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,8750,0,519444.4444,system/vre_availability_1.csv,Region10Jiangsu_PV_Distribution,elec_Region10Jiangsu,45697,200,system/TDR_results/vre_availability_1.csv,work in progress
