Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--TDR_path,Note
VRE,Region1Beijing_Wind_Offshore,Region1Beijing,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region1Beijing_Wind_Offshore,elec_Region1Beijing,0,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region2Tianjin_Wind_Offshore,Region2Tianjin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region2Tianjin_Wind_Offshore,elec_Region2Tianjin,117,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region3Hebei_Wind_Offshore,Region3Hebei,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region3Hebei_Wind_Offshore,elec_Region3Hebei,300,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region4Shanxi_Wind_Offshore,Region4Shanxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region4Shanxi_Wind_Offshore,elec_Region4Shanxi,0,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region5Innermongolia_Wind_Offshore,Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region5Innermongolia_Wind_Offshore,elec_Region5Innermongolia,0,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region6Liaoning_Wind_Offshore,Region6Liaoning,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region6Liaoning_Wind_Offshore,elec_Region6Liaoning,1053,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region7Jilin_Wind_Offshore,Region7Jilin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region7Jilin_Wind_Offshore,elec_Region7Jilin,0,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region8Heilongjiang_Wind_Offshore,Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region8Heilongjiang_Wind_Offshore,elec_Region8Heilongjiang,0,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region9Shanghai_Wind_Offshore,Region9Shanghai,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region9Shanghai_Wind_Offshore,elec_Region9Shanghai,669,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region10Jiangsu_Wind_Offshore,Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region10Jiangsu_Wind_Offshore,elec_Region10Jiangsu,11805,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region11Zhejiang_Wind_Offshore,Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region11Zhejiang_Wind_Offshore,elec_Region11Zhejiang,4423,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region12Anhui_Wind_Offshore,Region12Anhui,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region12Anhui_Wind_Offshore,elec_Region12Anhui,0,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region13Fujian_Wind_Offshore,Region13Fujian,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region13Fujian_Wind_Offshore,elec_Region13Fujian,3470,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region14Jiangxi_Wind_Offshore,Region14Jiangxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,60346.66667,0,1800000,system/vre_availability_1.csv,Region14Jiangxi_Wind_Offshore,elec_Region14Jiangxi,0,200,system/TDR_results/vre_availability_1.csv,work in progress
