Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--TDR_path,Note
VRE,Region1Beijing_Wind_Onshore,Region1Beijing,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region1Beijing_Wind_Onshore,elec_Region1Beijing,240,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region2Tianjin_Wind_Onshore,Region2Tianjin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region2Tianjin_Wind_Onshore,elec_Region2Tianjin,2073,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region3Hebei_Wind_Onshore,Region3Hebei,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region3Hebei_Wind_Onshore,elec_Region3Hebei,37790,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region4Shanxi_Wind_Onshore,Region4Shanxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region4Shanxi_Wind_Onshore,elec_Region4Shanxi,26160,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region5Innermongolia_Wind_Onshore,Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region5Innermongolia_Wind_Onshore,elec_Region5Innermongolia,85990,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region6Liaoning_Wind_Onshore,Region6Liaoning,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region6Liaoning_Wind_Onshore,elec_Region6Liaoning,16497,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region7Jilin_Wind_Onshore,Region7Jilin,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region7Jilin_Wind_Onshore,elec_Region7Jilin,15730,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region8Heilongjiang_Wind_Onshore,Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region8Heilongjiang_Wind_Onshore,elec_Region8Heilongjiang,15060,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region9Shanghai_Wind_Onshore,Region9Shanghai,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region9Shanghai_Wind_Onshore,elec_Region9Shanghai,401,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region10Jiangsu_Wind_Onshore,Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region10Jiangsu_Wind_Onshore,elec_Region10Jiangsu,11405,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region11Zhejiang_Wind_Onshore,Region11Zhejiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region11Zhejiang_Wind_Onshore,elec_Region11Zhejiang,2067,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region12Anhui_Wind_Onshore,Region12Anhui,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region12Anhui_Wind_Onshore,elec_Region12Anhui,8990,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region13Fujian_Wind_Onshore,Region13Fujian,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region13Fujian_Wind_Onshore,elec_Region13Fujian,4560,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region14Jiangxi_Wind_Onshore,Region14Jiangxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region14Jiangxi_Wind_Onshore,elec_Region14Jiangxi,6570,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region15Shandong_Wind_Onshore,Region15Shandong,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region15Shandong_Wind_Onshore,elec_Region15Shandong,21837,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region16Henan_Wind_Onshore,Region16Henan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region16Henan_Wind_Onshore,elec_Region16Henan,23340,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region17Hubei_Wind_Onshore,Region17Hubei,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region17Hubei_Wind_Onshore,elec_Region17Hubei,9520,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region18Hunan_Wind_Onshore,Region18Hunan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region18Hunan_Wind_Onshore,elec_Region18Hunan,11210,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region19Guangdong_Wind_Onshore,Region19Guangdong,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region19Guangdong_Wind_Onshore,elec_Region19Guangdong,7144,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region20Guangxi_Wind_Onshore,Region20Guangxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region20Guangxi_Wind_Onshore,elec_Region20Guangxi,18020,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region21Hainan_Wind_Onshore,Region21Hainan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region21Hainan_Wind_Onshore,elec_Region21Hainan,413,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region22Chongqing_Wind_Onshore,Region22Chongqing,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region22Chongqing_Wind_Onshore,elec_Region22Chongqing,2410,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region23Sichuan_Wind_Onshore,Region23Sichuan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region23Sichuan_Wind_Onshore,elec_Region23Sichuan,8900,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region24Guizhou_Wind_Onshore,Region24Guizhou,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region24Guizhou_Wind_Onshore,elec_Region24Guizhou,7480,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region25Yunnan_Wind_Onshore,Region25Yunnan,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region25Yunnan_Wind_Onshore,elec_Region25Yunnan,16710,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region26Tibet_Wind_Onshore,Region26Tibet,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region26Tibet_Wind_Onshore,elec_Region26Tibet,530,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region27Shaanxi_Wind_Onshore,Region27Shaanxi,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region27Shaanxi_Wind_Onshore,elec_Region27Shaanxi,14950,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region28Gansu_Wind_Onshore,Region28Gansu,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region28Gansu_Wind_Onshore,elec_Region28Gansu,32150,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region29Qinghai_Wind_Onshore,Region29Qinghai,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region29Qinghai_Wind_Onshore,elec_Region29Qinghai,12670,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region30Ningxia_Wind_Onshore,Region30Ningxia,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region30Ningxia_Wind_Onshore,elec_Region30Ningxia,15090,200,system/TDR_results/vre_availability_1.csv,work in progress
VRE,Region31Xinjiang_Wind_Onshore,Region31Xinjiang,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,20,0.08,20,1000000,20277.77778,0,1666666.667,system/vre_availability_1.csv,Region31Xinjiang_Wind_Onshore,elec_Region31Xinjiang,47080,200,system/TDR_results/vre_availability_1.csv,work in progress
