Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,25363.00118,20009.40704,89068.39242,57086.63464,78724.88864,50701.14342,17469.69026,20380.87064,32188.63699,168727.3683,134735.7939,65784.09329,45366.69196,32465.44033,148297.8425,58800.42752,49796.47632,41514.64032,144612.1728,40308.57082,7477.447183,25824.63739,70628.39409,31009.56386,36117.61473,2601.259818,45010.07336,29636.1489,17851.4078,24770.28685,66747.46811
2,24065.474,19149.98366,87002.11511,55916.80214,77966.35999,48889.02087,16927.96973,19373.39533,31344.08981,167321.4142,126436.4422,65121.80505,41879.25546,30372.92028,144288.3759,58149.79319,45329.32564,36134.06557,134975.1855,37383.08325,6547.789996,23887.3541,67011.63127,29002.50401,34077.88165,2404.614474,43409.56358,28086.52479,17627.88047,25285.75738,65999.51523
3,23550.07955,18900.65972,82995.97474,54176.01044,77818.10352,48487.97488,16261.77496,18997.57685,29358.89327,159549.7064,120236.4817,63826.75889,40375.99189,30064.13595,141599.3618,58760.75538,43182.18216,35367.20329,124669.3996,33680.18346,5835.191121,22568.49557,64610.30682,28365.07586,33073.11071,2305.373365,41981.2466,27981.97399,17276.55318,25105.17991,64944.85095
4,23365.15487,18690.14881,80394.45426,54208.96806,77781.13871,48620.61132,16415.69091,18634.10981,28050.29363,154655.3069,115295.8866,62759.57791,38486.78085,29770.02073,139317.5811,57731.36085,41112.95646,33537.1781,113885.3592,31519.7662,5252.679495,21628.68405,62158.0943,27403.05884,32261.18024,2208.943923,41995.83083,27887.00173,17344.92175,25285.71089,64642.10082
5,22839.89318,18445.02183,79068.29741,53885.18193,78588.56111,48613.68291,16559.20298,18978.09838,28025.84468,152630.2616,111163.8085,62754.6228,37970.11662,31264.25056,136127.5721,57402.95678,40903.04851,32883.70439,108527.277,30443.71697,4838.918424,20961.94544,60954.78142,27412.39161,31692.16779,2116.285107,41284.23561,27523.00916,17302.71698,25457.61427,64638.71809
6,23339.21522,18565.0312,78974.93092,53885.33578,79630.34713,49318.34589,17017.79193,20355.53695,29740.54071,152454.5358,108376.9246,62756.29272,37802.83551,34461.68951,139842.5629,57047.06702,41929.32234,30808.79195,101925.867,29544.94255,4607.794069,20275.5426,60923.52856,28366.34087,32877.60937,2099.998784,42014.96571,28450.04503,17901.92033,25715.55401,64427.58849
7,24402.83161,18929.80516,82025.84798,53998.39007,81208.08698,51002.98363,18909.85735,24636.81648,32471.81465,155159.6534,111161.2198,65735.09152,39520.01173,37261.7253,147024.8353,59489.43935,41842.32061,32851.4869,97839.79276,31674.29983,4901.192108,22164.92552,65090.79867,34377.20655,36080.61775,2117.064749,44950.73954,29923.96201,18284.00358,25801.35433,64601.92256
8,25671.16809,20043.13175,97676.68642,55253.16648,82481.84763,50275.64112,19900.11853,25901.50801,33609.68226,147795.5176,103115.9809,71227.6848,43924.67053,39212.07898,150685.7604,61978.44685,47520.84195,45870.50824,93066.41402,36209.06854,5331.718824,24432.38501,65801.87295,39640.31313,41258.32579,2325.754221,49721.4627,31059.89105,18615.91072,25320.23457,64523.24317
9,27192.33802,20538.99786,94972.21672,57087.75421,82180.77429,48698.12576,20309.95615,25094.72401,35612.73466,119907.3977,97303.18196,67149.80861,48630.93734,42357.67053,150956.3184,74681.18606,51331.69586,44121.17943,88523.49625,38259.68,5752.552183,26366.97959,71421.16077,45756.13013,46436.98853,2600.538051,51075.09901,30804.7577,17621.67372,24607.96489,65034.04643
10,28329.81285,21338.2436,95749.54256,60288.06632,82900.32646,49917.82771,20353.89334,25177.29475,39284.19449,118493.0476,101518.7035,62718.55597,52250.88112,45075.82674,150956.3184,77715.72996,53288.32071,44840.21068,93279.11464,41940.86533,6833.420508,28438.12355,78965.53102,47638.35384,49532.36691,2893.984772,51995.42751,31451.49755,16821.58236,23854.70478,65159.69462
