ID,Cata,源,汇,NEWID,NO,Status,SY,YR,CA（MW）,UH（h）,SP（g/kWh）,CE（Mt/年）,TCE（Mt）,lat1,lng1,源lat,源lng,汇lat,汇lng,UT,是否热电联产,距离,最近埋存点,埋存点性质,总碳封存额（Mt）
1,煤源,Y1,,CSP0001,1,01 Operating,2015,30,50,3822,320.7,0.171600156,3.603603276,46.41813342,125.3375262,46.41813342,125.3375262,,,亚临界,热电联产,31.71897519,CCS111,陆地埋存,703.61
2,煤源,Y2,,CSP0002,1,01 Operating,2015,30,3,3822,380.7,0.012222297,0.256668245,50.239159,127.507293,50.239159,127.507293,,,亚临界,热电联产,443.3149252,CCS111,陆地埋存,703.61
3,煤源,Y3,,CSP0003,1,01 Operating,2015,30,30,3822,332.7,0.10681267,2.243066062,49.16121117,125.2627981,49.16121117,125.2627981,,,亚临界,热电联产,284.4499034,CCS111,陆地埋存,703.61
4,煤源,Y4,,CSP0004,1,01 Operating,2015,30,15,3822,320.7,0.051480047,1.081080983,46.17637495,129.4306571,46.17637495,129.4306571,,,亚临界,热电联产,230.7032584,CCS066,陆地埋存,5
5,煤源,Y5,,CSP0005,1,01 Operating,2015,30,19,3822,320.7,0.065208059,1.369369245,45.94751214,128.0272955,45.94751214,128.0272955,,,亚临界,热电联产,144.6623435,CCS066,陆地埋存,5
6,煤源,Y6,,CSP0006,1,01 Operating,2011,30,150,4492,320.7,0.605045448,10.28577262,21.72438269,108.6784903,21.72438269,108.6784903,,,亚临界,常规煤电,99.99828916,CCS059,海洋埋存,18
7,煤源,Y7,,CSP0007,1,01 Operating,2010,30,150,4492,320.7,0.605045448,9.680727168,21.72438269,108.6784903,21.72438269,108.6784903,,,亚临界,常规煤电,99.99828916,CCS059,海洋埋存,18
8,煤源,Y8,,CSP0008,1,01 Operating,2004,30,62,3888,305.7,0.206334294,2.063342938,29.95766,121.7675,29.95766,121.7675,,,亚临界,热电联产,271.5976144,CCS002,海洋埋存,341800
9,煤源,Y9,,CSP0009,1,01 Operating,2004,30,62,3888,305.7,0.206334294,2.063342938,29.95766,121.7675,29.95766,121.7675,,,亚临界,热电联产,271.5976144,CCS002,海洋埋存,341800
10,煤源,Y10,,CSP0010,1,01 Operating,1998,30,38,3888,305.7,0.126462954,0.505851817,30.75505801,120.7319274,30.75505801,120.7319274,,,亚临界,热电联产,220.5187177,CCS044,陆地埋存,100
11,煤源,Y11,,CSP0011,1,01 Operating,1998,30,38,3888,305.7,0.126462954,0.505851817,30.75505801,120.7319274,30.75505801,120.7319274,,,亚临界,热电联产,220.5187177,CCS044,陆地埋存,100
12,煤源,Y12,,CSP0012,1,01 Operating,2011,30,50,5260,317.7,0.23395428,3.97722276,40.60231451,81.21189743,40.60231451,81.21189743,,,亚临界,热电联产,143.3752951,CCS128,陆地埋存,12.85
13,煤源,Y13,,CSP0013,1,01 Operating,2023,30,15,4610,315,0.0609903,1.7687187,24.526828,117.881255,24.526828,117.881255,,,亚临界,热电联产,222.1288989,CCS023,海洋埋存,11000
14,煤源,Y14,,CSP0014,1,01 Operating,2023,30,15,4610,315,0.0609903,1.7687187,24.526828,117.881255,24.526828,117.881255,,,亚临界,热电联产,222.1288989,CCS023,海洋埋存,11000
15,煤源,Y15,,CSP0015,1,01 Operating,2016,30,6,3330,315.7,0.017661521,0.388553458,36.13689,114.28122,36.13689,114.28122,,,亚临界,热电联产,84.91196425,CCS104,陆地埋存,25.36
16,煤源,Y16,,CSP0016,1,01 Operating,2023,30,12,4577,315,0.048442968,1.404846072,30.111182,117.027533,30.111182,117.027533,,,亚临界,热电联产,386.7986188,CCS016,陆地埋存,52800
17,煤源,Y17,,CSP0017,1,01 Operating,2023,30,12,4577,315,0.048442968,1.404846072,30.111182,117.027533,30.111182,117.027533,,,亚临界,热电联产,386.7986188,CCS016,陆地埋存,52800
