Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,21246.667042654764,14867.02220273325,66260.33211571311,46426.69133887914,64417.028502271125,42765.2657936983,13569.060824259966,16621.377297283558,28140.315376838265,129223.5860297958,88670.3855009863,45222.84569398232,40473.93199588435,31226.26687440571,129716.82547952402,57531.93578013597,40406.32597438163,38985.449530653226,125298.72514455249,46616.053046332934,7146.976858606839,26549.1030770378,72125.19062629306,35624.041716403124,38163.41719496568,2587.4678260359633,61981.851791324334,42413.78057805957,25126.273578649343,36908.78557863559,95287.4025898708
2,18880.644247362678,14874.793356428823,58274.067329221936,44822.49998325267,63469.32319810445,42131.009880906175,13305.897015123262,16730.7135520905,26246.416250572634,128174.8479060832,83950.09473251337,42321.267830063895,38061.04206628415,30716.46623026636,128736.53915545832,58056.31380469969,38690.64060238318,38277.33936117073,120072.58098743268,45666.326171483495,6802.5638640961715,25828.77796473358,70620.53381867518,34682.482337779235,37334.53280436635,2536.91365892489,61279.49320173579,42148.657760467126,25053.62813067089,36851.44724008366,94913.68352190756
3,18757.14698221648,14508.319443318014,58634.94303393522,46210.27288902153,63121.90360981999,42136.80182144309,13235.28263431526,16508.962249015527,23228.40341776307,124433.55805147481,80890.16694414437,41326.42888301599,36549.108278420696,30278.983594376718,127683.29012581374,56486.728618641086,36983.80137687595,37979.29957207189,114898.32770219591,44978.86502031029,6562.53014720778,25724.012913692593,69324.31387384456,34016.08538043322,36081.32330131916,2500.337833013722,60767.646041983135,42093.834035071,24924.02321127053,36797.47153078837,94163.6879863321
4,19435.63890752411,14479.276210446418,64350.73545598552,46190.9505033642,63371.25151227236,42409.935326422696,13203.708942892787,16480.21312134762,22341.73919928527,121812.31645992785,79187.03035835703,40737.24602933445,35930.09518292871,29682.772415969444,126107.19539274777,55446.290010556026,34609.68541780014,37770.14651506776,112331.04721105006,44679.46745957,6538.3315943372145,25655.31697584401,68698.20418181599,33556.296203842336,35238.98183604764,2476.603905550479,60433.816928138076,42036.7959209479,25018.825567438857,36713.40038335077,93085.16981917933
5,20020.180204666925,14387.63673168819,65617.98128505211,46202.676501866496,64767.02832884278,43250.59345975823,13462.38324590173,16868.953975712644,22273.785425768274,120651.5375439652,79084.68615440183,41014.13942277433,35853.585839813335,29610.037049749535,129507.52704004271,55446.290010556026,37324.446921373514,37896.95249805209,109777.21309025022,44544.40189594461,6654.156613544615,26888.559977192508,69479.38314623457,33694.25071422734,35660.85620312019,2479.2358176066714,60470.902459112185,42328.78598368149,25015.45177490832,36754.031486032494,94163.6879863321
6,21063.03995096654,15433.09723968297,69137.46626244047,47064.150005474636,68815.93912281455,45860.022352061846,13907.478470551598,17903.66106901445,22430.14326813084,121111.30089044523,81437.8805690647,43035.7146273562,37329.361685713244,30989.378963790074,133343.2620285136,55965.91046069854,40406.32597438163,38414.09650236127,112331.04721105006,45412.17885175004,6959.114269743326,29421.816663506026,73239.2900757625,33510.30796681056,36500.40872619869,2562.890988768153,61641.13226256471,42883.20980360485,25189.06493811609,36949.42158838565,94539.11440967368
7,23046.173591929666,16899.90284870967,74060.91056377182,48659.668568816014,73610.27953945192,46005.93755716702,14986.386260952677,19821.15344384327,24237.59431603278,128688.06341917589,89996.46469200113,47846.417223035925,41456.35696119996,35070.330244289944,140449.5843068046,59636.48108410738,43169.10757693135,38806.172343791,120072.58098743268,47813.7759204033,7353.028197596301,31681.00054576336,75717.88271921808,34199.95394556922,37334.53280436635,2763.999544571085,64390.16463765316,43795.504485872065,25767.406825423735,37318.42643935314,96032.31913230715
8,25771.274628475643,19066.63087853509,78008.69787180891,49031.253153978396,73007.15292765401,46574.23338452579,15711.548716489006,20574.08208224958,28491.937778905492,140033.07443761823,106341.4162319261,53012.55994260018,46189.975530077296,39758.03294204237,141592.16585438797,64978.3371713196,48053.50215913465,41449.781903062496,157683.4098785065,50124.29525357875,8065.265180478635,36144.45245578057,71535.55216478757,37069.525691049304,39397.30394841241,2880.0304105347604,65937.80386106056,44060.93419984878,25693.367261658077,36455.2830969853,96773.9200898007
9,28250.936594096936,22054.59853802339,83518.34005936272,49164.82512915342,74032.24540646514,48016.131885349234,15761.781546150101,20497.499792869206,34042.96750664763,146845.5531376985,119301.48792639373,55132.13263152381,49908.62201520295,45291.80944062751,143310.5707183213,68237.08119832241,52996.69114517802,44340.92767661545,197497.06320878147,51792.24102093227,8787.00651288863,38025.88143152109,76551.67714386212,38513.48890812259,44625.10134524129,3177.796989009469,69793.2867818351,45076.873926996515,25822.0732663146,37072.000737010625,97472.47198173859
10,30020.879411356796,23237.893877823506,85702.56758075836,51113.05546366377,76324.53910691012,49364.775371870084,16047.538754376501,20731.82567706382,40395.59902303003,154158.57272127282,127039.36864441716,55777.1604515355,52288.75911632912,47330.57907492403,143041.76199123272,74312.11750665185,54775.53309912703,45200.629311337565,212199.59199880727,52289.323160732354,9289.843272971604,40101.16884747033,79073.58736148682,43179.43456166827,45806.53806965152,3252.685389219417,70738.57881319174,45343.50956419303,25705.868020989485,37171.448642319985,98613.77042688553
