variable,description,province_code,province_name_cn,year,value,unit,source_file,source_sheet,source_range
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,he,河北,2016,52203.34,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,he,河北,2017,58163.52,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,he,河北,2018,24642.44,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,he,河北,2019,29952.2,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,he,河北,2020,32117.59,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,he,河北,2018-2020_avg,28904.076666666664,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ln,辽宁,2016,9711.97,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ln,辽宁,2017,12193.97,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ln,辽宁,2018,13170.37,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ln,辽宁,2019,12567,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ln,辽宁,2020,13311.26,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,ln,辽宁,2018-2020_avg,13016.210000000001,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sc,四川,2016,20437.3,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sc,四川,2017,14440.36,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sc,四川,2018,10044.18,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sc,四川,2019,10928.8,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sc,四川,2020,10796.36,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
