Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,20751.023487573628,14726.35863377296,65074.14338273024,45198.448583783196,64058.07759947136,42563.76652966785,13568.711282665749,16930.608392653743,27988.49888780622,128165.66883552977,88601.89595293658,44935.36397491867,40812.55389388906,29666.277516535956,126248.75392245213,54842.85254360113,38560.25983354944,36866.265903056155,121346.75098166426,44566.531550873246,6990.88931860402,24720.618197179763,65883.49654702866,33661.464545992145,36770.09203074065,2410.263477340395,53504.21586060509,36573.92213607219,21313.740612337344,31322.33861030123,81530.27341711141
2,18698.602229523516,14733.146140306346,58173.2533360711,44140.06326628102,63305.261823724984,42076.72436229414,13376.095469294005,17011.765138698367,26263.749385408584,127261.06285334931,84392.07570215342,42350.43947387052,38674.170680625335,29222.795582963914,125511.71847920757,55312.95616626903,37032.387278976305,36247.07256178019,116760.4227396333,43928.94686757159,6706.213223503906,24121.81824683914,64674.555005471484,32881.035384507275,36107.564271346666,2372.504828376919,53070.64249031362,36438.02216566078,21271.564175823216,31293.42338912273,81340.2389775803
3,18590.67016881026,14412.598764248452,58487.56902698541,45056.368140576094,63028.718272041166,42081.179555123206,13324.236714245648,16847.015567786722,23492.41610266805,124025.99930747668,81649.18869526446,41459.875200225186,37325.68564247737,28841.725334998435,124718.39691881608,53905.06634375659,35507.79912767682,35986.19806451444,112200.77446146854,43464.94710475164,6506.465578371887,24034.57807072962,63630.57479813633,32327.09062922288,35101.03842350133,2345.0928309702836,52753.77814215671,36409.8766424615,21196.22217536729,31266.1872191294,80957.95024652945
4,19182.628859381908,14387.154590223248,63434.190504126425,45043.672297969744,63227.22855573921,42291.11599246466,13301.02504005665,16825.612755591566,22672.41521164301,121751.86438148266,80117.58515279151,40931.373241689864,36771.60136908437,28321.63895165707,123528.46466146887,52970.53619943556,33379.13552907042,35803.03341673019,109931.19000846938,43262.20565730071,6486.264849012616,23977.35251389667,63125.45613449384,31944.103931695794,34421.13059229322,2327.2624498206083,52546.70642172692,36380.57847800518,21251.344847509652,31223.732550367327,80406.03140066014
5,19690.66609071067,14306.831525544667,64523.174873046766,45051.37711381575,64335.53414906958,42935.326669167494,13490.754092747226,17114.171364870217,22609.454862604744,120742.75836196488,80025.4338276009,41179.84967318571,36703.035046195306,28258.130078306873,126091.49836739851,52970.53619943556,35812.448095299056,35914.09223042499,107668.56315637658,43170.610724987106,6582.848135259048,25002.191990898897,63755.59225216785,32059.082808379622,34761.99770126914,2329.2413807247167,52569.72642628976,36530.39223174001,21249.38429497427,31244.25557015127,80957.95024652945
6,20592.73827815531,15219.699810476945,67533.74331116978,45615.69599269724,67523.68067816681,44916.98576145347,13814.931927247138,17873.617795084036,22754.298156308163,121142.59802295432,82140.98105406754,42988.62305675968,38022.4382788389,29460.28291331851,128964.37069755288,53437.39213949166,38560.25983354944,36366.724515315924,109931.19000846938,43757.6566763738,6835.886720644991,27091.65938798336,66776.66162459739,31905.76176193339,35438.28958902556,2391.9257507803245,53294.06260067806,36813.704377410504,21350.16494287144,31342.81995336084,81149.46708733514
7,22293.88785662627,16488.311362355922,71712.88831845978,46652.047831968826,71250.15807591198,45027.019919143386,14589.374485503819,19250.439537834853,24422.424363669314,127703.86562192526,89780.0761550107,47257.41429235306,41678.621673484515,32991.19640409168,134237.64891467057,56728.05992891514,41011.39893566476,36709.58176823048,116760.4227396333,45365.07842863424,7160.159864942075,28938.595061223536,68757.85293738011,32480.065619517893,36107.564271346666,2540.9821221151897,54980.36182899604,37276.671105290756,21684.316241083827,31528.388909677746,81908.15933977287
8,24603.78132187701,18338.892774860265,75038.31415264311,46891.80599327001,70784.13303958288,45454.80860428035,15101.430977137035,19781.08355585225,28307.584298705115,137435.1741466831,104154.0391113723,51790.99008105162,45816.98897995273,37004.355770393675,135079.75813573043,61495.808441238456,45319.12548764422,39014.60365532937,149387.77878608584,46888.825688842575,7739.636026680082,32546.676141556112,65410.11049591204,34854.6266685614,37751.78152075525,2625.989940945283,55920.62856357125,37410.632140802154,21641.671299028218,31093.139931565434,82283.18247666772
9,26680.636709384886,20850.893353227446,79643.95278528867,46977.84592835055,71575.74393360264,46534.873390036446,15136.662509390606,19727.353466786844,33302.253279282704,143228.72525308718,115377.19864872293,53637.17780485128,49030.87629340452,41690.59447780431,136343.35068057198,64392.79988653347,49648.363572307215,41522.7242299685,183119.59664297928,47975.72680966076,8318.632918169484,34052.74688475753,69422.53954825149,36040.7737205051,41854.70934095887,2841.0984314344046,58236.05835402763,37920.36993150434,21715.777910893685,31404.54691547746,82635.36975407197
10,28149.851994190623,21834.299593599193,81458.98398855238,48224.26790446439,73337.9683905123,47538.356133700494,15336.509649169424,19891.586166511268,38932.01604410706,149408.98655886707,122013.28835120112,54197.49609588953,51072.203399755934,43404.543678926675,136145.916962107,69771.87491746109,51199.402788519845,42266.10032834974,195404.74742756353,48297.60463865148,8717.553324368297,35704.65653437275,71427.65448042269,39837.037968542565,42770.17341298509,2894.552069932434,58798.11569847884,38053.375897652084,21648.874145551104,31454.56486375202,83208.5776019072
11,29160.48056752849,22230.044460954054,84344.06713355274,48490.171704704764,74189.94637113651,46075.609657102556,15408.503980580406,19915.830727987533,41379.96888534035,156832.1731775389,124705.77586605138,55473.270883402474,53359.85424881323,44890.5467706363,137535.76459210273,71749.03649513141,52442.00640696901,45514.15792964592,202831.93036191273,48777.764214257455,8861.977756461656,34701.52218457569,76247.517785022,40959.88434243579,43072.940155978,2902.681804821972,58883.15647778595,38010.74699559495,21718.882386037625,31527.5230326343,83067.35993941294
12,27690.410897507732,20055.151675249548,81096.17661764834,48503.50655699098,74208.70035150782,44601.68456499296,15446.178435915375,19832.800730816136,39683.464368848494,154257.88691136223,111173.1871427702,55119.18706636867,51785.3714173624,44243.82764138902,136621.14627966308,74855.8856574817,50578.68849814042,41884.87998218159,170956.05244305983,48265.98747141086,8664.63636550321,34598.453259871596,79024.10542217006,41601.73864955753,41854.70934095887,2849.2537646356573,58322.13983130112,38116.97748127808,21786.54034948196,31485.84449481148,82481.36136786139
13,26730.725979295716,19882.184422088074,77415.08626715292,46661.83670053328,70611.66506280452,45221.927366804935,14949.933860256919,19459.11358934375,36928.70101978212,140549.05805133877,110247.46152852397,52406.75814260747,48088.95258304051,40733.64152878975,135357.57112712684,73239.1184925691,48099.85006289093,41143.906088657626,163718.77323179116,47215.76487945673,8229.760905176076,34821.134733967454,73439.06454663498,41198.48877310785,41547.10568943487,2754.6369788518737,57315.963929968144,37670.28008669703,21790.323666480483,31573.90806346287,82189.69199643983
14,26855.859523469902,20959.691244494934,80384.44990024032,47491.369487112475,69907.40936711644,46048.48031304847,15098.018552884256,19698.435980407095,37649.70647547091,148976.89292921344,115470.41238757629,52561.12211606842,47376.90739988411,41179.124534445036,136934.6832396919,67805.87159115824,48409.34727901685,41268.39593682521,188019.3802504121,47363.157270424526,8185.082815538144,35438.60836450312,74370.13376632468,40076.78671080297,42161.07606772533,2751.8530095653728,57286.10692889468,37473.94261258483,21745.359696386713,31646.51013685607,81908.15933977287
15,26941.430223158426,20507.85217509361,81396.21201249596,47621.09921832806,71300.87507231877,47628.59575936522,15235.854655982934,19814.626779558435,37209.70510171111,150575.6445870744,114911.5915295019,52916.63640238221,48517.01361583825,41661.185253818505,138047.30529367877,69771.87491746109,49648.363572307215,40101.477157550114,197875.88357172807,47863.226404444744,8332.24902841736,35474.87384610478,76928.7006900763,39504.66588574979,42466.224658889325,2765.8378775299243,57435.94172664325,37427.28629767389,21592.623800742127,31650.231851871882,82877.40354071303
16,27517.898858605484,20808.28416363291,82622.64080123034,47673.01723940157,73243.60013208982,48979.33985603525,15315.922096551521,20145.19551059852,37230.62503253543,151056.51288579497,114966.09925302623,53913.64855616447,49661.24861839764,42077.959999104336,142212.36571872633,70265.1265916253,51199.402788519845,41604.9578223514,200351.62455912624,47997.57536369674,8598.183774433664,36142.72519357087,77527.11260070323,39892.38667062494,42770.17341298509,2779.9036780957626,57586.27369587353,37432.828693640506,21236.142577755512,31585.965149979427,83719.44418496563
17,28982.000308538947,21797.077800452866,88398.97413315471,48714.994815217826,77027.2276197126,51724.195973798145,15701.461722959975,21464.495954747996,38707.37914189419,152918.71590203847,113485.0344289067,56017.609255971176,52223.23507433182,44933.23374677359,144081.36464915928,69279.32059751086,54308.787459829524,44938.29070180097,207806.080088484,49308.94609151896,9222.689850215429,37600.38823947069,79584.20398043557,39042.234353460095,43374.54225846395,2884.453052932127,58692.313925418865,38028.46559472975,21595.587861009742,31993.253320412314,84207.22779089851
18,30068.878442148496,21386.1460065454,92558.60187207893,50153.28408148861,78989.87114545585,48944.129607236515,16500.267092178226,21069.64528758259,39826.39800832211,153126.26787814032,109681.60125581,58622.92620137515,57682.98950663454,45551.64620895469,149043.52520145205,74855.8856574817,59933.600086025406,48680.54607679622,195404.74742756353,50086.62306125384,9777.303132593288,36469.54142497565,85728.64755222086,41143.44744378636,44569.63663457103,3023.684316451812,60135.51723390413,38803.77273493285,21906.95304256159,32264.494579736405,84780.24309500527
