Type,id,storage--constraints--MinStorageOutflowConstraint,storage--can_retire,storage--commodity,storage--can_expand,edges--inflow_edge--constraints--MustRunConstraint,edges--inflow_edge--type,edges--inflow_edge--unidirectional,edges--inflow_edge--start_vertex,edges--inflow_edge--has_capacity,edges--spill_edge--has_capacity,edges--spill_edge--can_retire,edges--spill_edge--type,edges--spill_edge--unidirectional,edges--spill_edge--can_expand,edges--spill_edge--end_vertex,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,edges--discharge_edge--can_retire,edges--discharge_edge--type,edges--discharge_edge--unidirectional,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,storage--charge_discharge_ratio,storage--min_outflow_fraction,edges--inflow_edge--efficiency,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--header,edges--discharge_edge--efficiency,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--existing_capacity,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--capacity_size,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--end_vertex
HydroRes,Region1Beijing_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region1Beijing_Hydropower,1,36013.88889,168.0,0.083,200,0.083,elec_Region1Beijing
HydroRes,Region2Tianjin_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region2Tianjin_Hydropower,1,36013.88889,10.0,0.083,200,0.083,elec_Region2Tianjin
HydroRes,Region3Hebei_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region3Hebei_Hydropower,1,36013.88889,542.0,0.083,200,0.083,elec_Region3Hebei
HydroRes,Region4Shanxi_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region4Shanxi_Hydropower,1,36013.88889,1031.0,0.083,200,0.083,elec_Region4Shanxi
HydroRes,Region5Innermongolia_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region5Innermongolia_Hydropower,1,36013.88889,1190.0,0.083,200,0.083,elec_Region5Innermongolia
HydroRes,Region6Liaoning_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region6Liaoning_Hydropower,1,36013.88889,1821.0,0.083,200,0.083,elec_Region6Liaoning
HydroRes,Region7Jilin_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region7Jilin_Hydropower,1,36013.88889,4840.0,0.083,200,0.083,elec_Region7Jilin
HydroRes,Region8Heilongjiang_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region8Heilongjiang_Hydropower,1,36013.88889,1100.0,0.083,200,0.083,elec_Region8Heilongjiang
HydroRes,Region9Shanghai_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region9Shanghai_Hydropower,1,36013.88889,0.0,0.083,200,0.083,elec_Region9Shanghai
HydroRes,Region10Jiangsu_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region10Jiangsu_Hydropower,1,36013.88889,50.0,0.083,200,0.083,elec_Region10Jiangsu
HydroRes,Region11Zhejiang_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region11Zhejiang_Hydropower,1,36013.88889,7150.0,0.083,200,0.083,elec_Region11Zhejiang
HydroRes,Region12Anhui_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region12Anhui_Hydropower,1,36013.88889,1930.0,0.083,200,0.083,elec_Region12Anhui
HydroRes,Region13Fujian_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region13Fujian_Hydropower,1,36013.88889,12140.0,0.083,200,0.083,elec_Region13Fujian
HydroRes,Region14Jiangxi_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region14Jiangxi_Hydropower,1,36013.88889,4330.0,0.083,200,0.083,elec_Region14Jiangxi
HydroRes,Region15Shandong_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region15Shandong_Hydropower,1,36013.88889,80.0,0.083,200,0.083,elec_Region15Shandong
HydroRes,Region16Henan_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region16Henan_Hydropower,1,36013.88889,2760.0,0.083,200,0.083,elec_Region16Henan
HydroRes,Region17Hubei_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region17Hubei_Hydropower,1,36013.88889,36170.0,0.083,200,0.083,elec_Region17Hubei
HydroRes,Region18Hunan_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region18Hunan_Hydropower,1,36013.88889,15150.0,0.083,200,0.083,elec_Region18Hunan
HydroRes,Region19Guangdong_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region19Guangdong_Hydropower,1,36013.88889,8480.0,0.083,200,0.083,elec_Region19Guangdong
HydroRes,Region20Guangxi_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region20Guangxi_Hydropower,1,36013.88889,17250.0,0.083,200,0.083,elec_Region20Guangxi
HydroRes,Region21Hainan_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region21Hainan_Hydropower,1,36013.88889,940.0,0.083,200,0.083,elec_Region21Hainan
HydroRes,Region22Chongqing_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region22Chongqing_Hydropower,1,36013.88889,7720.0,0.083,200,0.083,elec_Region22Chongqing
HydroRes,Region23Sichuan_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region23Sichuan_Hydropower,1,36013.88889,82588.0,0.083,200,0.083,elec_Region23Sichuan
HydroRes,Region24Guizhou_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region24Guizhou_Hydropower,1,36013.88889,22360.0,0.083,200,0.083,elec_Region24Guizhou
HydroRes,Region25Yunnan_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region25Yunnan_Hydropower,1,36013.88889,71190.0,0.083,200,0.083,elec_Region25Yunnan
HydroRes,Region26Tibet_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region26Tibet_Hydropower,1,36013.88889,2360.0,0.083,200,0.083,elec_Region26Tibet
HydroRes,Region27Shaanxi_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region27Shaanxi_Hydropower,1,36013.88889,4200.0,0.083,200,0.083,elec_Region27Shaanxi
HydroRes,Region28Gansu_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region28Gansu_Hydropower,1,36013.88889,9560.0,0.083,200,0.083,elec_Region28Gansu
HydroRes,Region29Qinghai_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region29Qinghai_Hydropower,1,36013.88889,11926.0,0.083,200,0.083,elec_Region29Qinghai
HydroRes,Region30Ningxia_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region30Ningxia_Hydropower,1,36013.88889,430.4,0.083,200,0.083,elec_Region30Ningxia
HydroRes,Region31Xinjiang_Hydropower,false,false,HydroRes,false,true,Electricity,true,hydro_source,true,false,false,Electricity,true,false,hydro_source,true,true,false,Electricity,true,false,true,1,0.2,1,system/vre_availability_1.csv,Region31Xinjiang_Hydropower,1,36013.88889,7780.0,0.083,200,0.083,elec_Region31Xinjiang
