Type,id,storage--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,storage--max_storage_level,storage--can_retire,storage--charge_discharge_ratio,storage--capital_recovery_period,storage--can_expand,storage--max_capacity,storage--fixed_om_cost,storage--min_duration,storage--existing_capacity,storage--capacity_size,storage--lifetime,storage--long_duration,storage--investment_cost,storage--min_storage_level,storage--max_duration,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--min_capacity,storage--loss_fraction,storage--wacc,edges--discharge_edge--can_retire,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--discharge_edge--max_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--existing_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--lifetime,edges--discharge_edge--end_vertex,edges--discharge_edge--variable_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--min_capacity,edges--discharge_edge--wacc,edges--charge_edge--can_retire,edges--charge_edge--can_expand,edges--charge_edge--has_capacity,edges--charge_edge--max_capacity,edges--charge_edge--efficiency,edges--charge_edge--fixed_om_cost,edges--charge_edge--existing_capacity,edges--charge_edge--capacity_size,edges--charge_edge--variable_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--start_vertex,edges--charge_edge--min_capacity
Battery,Region1Beijing_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,178.96,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,89.48,1,15,elec_Region1Beijing,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,89.48,1,0,0,elec_Region1Beijing,0
Battery,Region2Tianjin_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,43.72,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,21.86,1,15,elec_Region2Tianjin,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,21.86,1,0,0,elec_Region2Tianjin,0
Battery,Region3Hebei_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,104.96,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,52.48,1,15,elec_Region3Hebei,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,52.48,1,0,0,elec_Region3Hebei,0
Battery,Region4Shanxi_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,656.72,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,328.36,1,15,elec_Region4Shanxi,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,328.36,1,0,0,elec_Region4Shanxi,0
Battery,Region5Innermongolia_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,43.72,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,21.86,1,15,elec_Region5Innermongolia,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,21.86,1,0,0,elec_Region5Innermongolia,0
Battery,Region6Liaoning_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region6Liaoning,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region6Liaoning,0
Battery,Region7Jilin_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region7Jilin,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region7Jilin,0
Battery,Region8Heilongjiang_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region8Heilongjiang,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region8Heilongjiang,0
Battery,Region9Shanghai_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,71.04,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,35.52,1,15,elec_Region9Shanghai,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,35.52,1,0,0,elec_Region9Shanghai,0
Battery,Region10Jiangsu_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,1094.68,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,547.34,1,15,elec_Region10Jiangsu,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,547.34,1,0,0,elec_Region10Jiangsu,0
