Type,id,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,edges--elec_edge--can_retire,edges--elec_edge--capital_recovery_period,edges--elec_edge--can_expand,edges--elec_edge--min_down_time,edges--elec_edge--max_capacity,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--commodity,edges--elec_edge--capacity_size,edges--elec_edge--lifetime,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--min_capacity,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--wacc,edges--elec_edge--uc,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,edges--fuel_edge--commodity,edges--co2_edge--commodity,edges--co2_edge--end_vertex,transforms--fuel_consumption,transforms--emission_rate,transforms--timedata
ThermalPower,Region1Beijing_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,11378.58,6,Electricity,200,20,1,elec_Region1Beijing,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region1Beijing,NaturalGas,CO2,co2_sink_1,1.785714286,0.181,NaturalGas
ThermalPower,Region2Tianjin_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,4606.76,6,Electricity,200,20,1,elec_Region2Tianjin,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region2Tianjin,NaturalGas,CO2,co2_sink_2,1.785714286,0.181,NaturalGas
ThermalPower,Region3Hebei_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,2538.85,6,Electricity,200,20,1,elec_Region3Hebei,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region3Hebei,NaturalGas,CO2,co2_sink_3,1.785714286,0.181,NaturalGas
ThermalPower,Region4Shanxi_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,5548.02,6,Electricity,200,20,1,elec_Region4Shanxi,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region4Shanxi,NaturalGas,CO2,co2_sink_4,1.785714286,0.181,NaturalGas
ThermalPower,Region5Innermongolia_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,698.74,6,Electricity,200,20,1,elec_Region5Innermongolia,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region5Innermongolia,NaturalGas,CO2,co2_sink_5,1.785714286,0.181,NaturalGas
ThermalPower,Region6Liaoning_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,0,6,Electricity,200,20,1,elec_Region6Liaoning,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region6Liaoning,NaturalGas,CO2,co2_sink_6,1.785714286,0.181,NaturalGas
ThermalPower,Region7Jilin_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,0,6,Electricity,200,20,1,elec_Region7Jilin,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region7Jilin,NaturalGas,CO2,co2_sink_7,1.785714286,0.181,NaturalGas
ThermalPower,Region8Heilongjiang_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,0,6,Electricity,200,20,1,elec_Region8Heilongjiang,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region8Heilongjiang,NaturalGas,CO2,co2_sink_8,1.785714286,0.181,NaturalGas
ThermalPower,Region9Shanghai_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,8064.47,6,Electricity,200,20,1,elec_Region9Shanghai,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region9Shanghai,NaturalGas,CO2,co2_sink_9,1.785714286,0.181,NaturalGas
ThermalPower,Region10Jiangsu_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,17770.26,6,Electricity,200,20,1,elec_Region10Jiangsu,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region10Jiangsu,NaturalGas,CO2,co2_sink_10,1.785714286,0.181,NaturalGas
ThermalPower,Region11Zhejiang_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,14682.56,6,Electricity,200,20,1,elec_Region11Zhejiang,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region11Zhejiang,NaturalGas,CO2,co2_sink_11,1.785714286,0.181,NaturalGas
ThermalPower,Region12Anhui_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,2005.05,6,Electricity,200,20,1,elec_Region12Anhui,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region12Anhui,NaturalGas,CO2,co2_sink_12,1.785714286,0.181,NaturalGas
ThermalPower,Region13Fujian_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,4024.25,6,Electricity,200,20,1,elec_Region13Fujian,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region13Fujian,NaturalGas,CO2,co2_sink_13,1.785714286,0.181,NaturalGas
ThermalPower,Region14Jiangxi_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,184.55,6,Electricity,200,20,1,elec_Region14Jiangxi,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region14Jiangxi,NaturalGas,CO2,co2_sink_14,1.785714286,0.181,NaturalGas
ThermalPower,Region15Shandong_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,4183.81,6,Electricity,200,20,1,elec_Region15Shandong,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region15Shandong,NaturalGas,CO2,co2_sink_15,1.785714286,0.181,NaturalGas
ThermalPower,Region16Henan_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,3947.71,6,Electricity,200,20,1,elec_Region16Henan,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region16Henan,NaturalGas,CO2,co2_sink_16,1.785714286,0.181,NaturalGas
ThermalPower,Region17Hubei_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,812.35,6,Electricity,200,20,1,elec_Region17Hubei,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region17Hubei,NaturalGas,CO2,co2_sink_17,1.785714286,0.181,NaturalGas
ThermalPower,Region18Hunan_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,0,6,Electricity,200,20,1,elec_Region18Hunan,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region18Hunan,NaturalGas,CO2,co2_sink_18,1.785714286,0.181,NaturalGas
ThermalPower,Region19Guangdong_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,24520.25,6,Electricity,200,20,1,elec_Region19Guangdong,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region19Guangdong,NaturalGas,CO2,co2_sink_19,1.785714286,0.181,NaturalGas
ThermalPower,Region20Guangxi_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,143.37,6,Electricity,200,20,1,elec_Region20Guangxi,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region20Guangxi,NaturalGas,CO2,co2_sink_20,1.785714286,0.181,NaturalGas
ThermalPower,Region21Hainan_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,1016.24,6,Electricity,200,20,1,elec_Region21Hainan,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region21Hainan,NaturalGas,CO2,co2_sink_21,1.785714286,0.181,NaturalGas
ThermalPower,Region22Chongqing_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,868.88,6,Electricity,200,20,1,elec_Region22Chongqing,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region22Chongqing,NaturalGas,CO2,co2_sink_22,1.785714286,0.181,NaturalGas
ThermalPower,Region23Sichuan_naturalgas_power,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,20,TRUE,6,-1,15333.33333,1193.18,6,Electricity,200,20,1,elec_Region23Sichuan,6.766944444,24389.3303,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.3,1,0.3,0.039,TRUE,43.06869782,natgas_Region23Sichuan,NaturalGas,CO2,co2_sink_23,1.785714286,0.181,NaturalGas
