Type,id,fuel_commodity,edges--elec_edge--type,edges--fuel_edge--type,edges--co2_emissions_edge--type,edges--co2_captured_edge--type,edges--co2_captured_edge--end_vertex,edges--cement_edge--end_vertex,edges--cement_edge--can_retire,edges--cement_edge--fixed_om_cost,edges--cement_edge--variable_om_cost,edges--cement_edge--type,edges--cement_edge--investment_cost,edges--cement_edge--capacity_size,edges--cement_edge--can_expand,edges--cement_edge--can_retrofit,edges--cement_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--fuel_emission_rate,transforms--id,transforms--timedata,transforms--emission_capture_rate,transforms--fuel_consumption_rate,transforms--process_emission_rate,transforms--elec_consumption_rate,edges--elec_edge--start_vertex,edges--fuel_edge--start_vertex,edges--co2_emissions_edge--end_vertex,edges--cement_edge--existing_capacity
CementPlant,tradcement_Region1Beijing,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region1Beijing,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region1Beijing,coal_Region1Beijing,co2_sink_1,3938
CementPlant,tradcement_Region2Tianjin,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region2Tianjin,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region2Tianjin,coal_Region2Tianjin,co2_sink_2,2626
CementPlant,tradcement_Region3Hebei,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region3Hebei,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region3Hebei,coal_Region3Hebei,co2_sink_3,24623
CementPlant,tradcement_Region4Shanxi,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region4Shanxi,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region4Shanxi,coal_Region4Shanxi,co2_sink_4,17945
CementPlant,tradcement_Region5Innermongolia,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region5Innermongolia,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region5Innermongolia,coal_Region5Innermongolia,co2_sink_5,18776
CementPlant,tradcement_Region6Liaoning,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region6Liaoning,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region6Liaoning,coal_Region6Liaoning,co2_sink_6,23721
CementPlant,tradcement_Region7Jilin,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region7Jilin,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region7Jilin,coal_Region7Jilin,co2_sink_7,5616
CementPlant,tradcement_Region8Heilongjiang,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region8Heilongjiang,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region8Heilongjiang,coal_Region8Heilongjiang,co2_sink_8,5090
CementPlant,tradcement_Region9Shanghai,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region9Shanghai,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region9Shanghai,coal_Region9Shanghai,co2_sink_9,502
CementPlant,tradcement_Region10Jiangsu,Coal,Electricity,Cement,CO2,CO2Captured,co2_captured_sink,cement_Region10Jiangsu,true,38,0,Cement,220939,125,true,true,true,true,0.296,traditional_cement,Cement,0,0.9311,0.536,0.07,elec_Region10Jiangsu,coal_Region10Jiangsu,co2_sink_10,16878
