Type,id,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--unidirectional,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--has_capacity,edges--transmission_edge--max_capacity,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--can_retire,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_new_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--start_vertex,edges--transmission_edge--can_expand,edges--transmission_edge--end_vertex
TransmissionLink,Line1ExistingAC_Region4Shanxi_to_Region16Henan,100,false,Electricity,0.062,100,true,5000,true,true,true,false,0.015,0,5000,9818.906776,elec_Region4Shanxi,false,elec_Region16Henan
TransmissionLink,Line2ExistingAC_Region16Henan_to_Region17Hubei,100,false,Electricity,0.062,100,true,5000,true,true,true,false,0.015,0,5000,8758.914335,elec_Region16Henan,false,elec_Region17Hubei
TransmissionLink,Line3ExistingAC_Region12Anhui_to_Region11Zhejiang,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,11824.84184,elec_Region12Anhui,false,elec_Region11Zhejiang
TransmissionLink,Line4ExistingAC_Region11Zhejiang_to_Region9Shanghai,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,6806.649775,elec_Region11Zhejiang,false,elec_Region9Shanghai
TransmissionLink,Line5ExistingAC_Region12Anhui_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,11000,true,true,true,false,0.02,0,11000,10156.78699,elec_Region12Anhui,false,elec_Region10Jiangsu
TransmissionLink,Line6ExistingAC_Region10Jiangsu_to_Region9Shanghai,100,false,Electricity,0.062,100,true,11000,true,true,true,false,0.02,0,11000,9267.564333,elec_Region10Jiangsu,false,elec_Region9Shanghai
TransmissionLink,Line7ExistingAC_Region11Zhejiang_to_Region13Fujian,100,false,Electricity,0.062,100,true,10500,true,true,true,false,0.02,0,10500,12667.27706,elec_Region11Zhejiang,false,elec_Region13Fujian
TransmissionLink,Line8ExistingAC_Region5Innermongolia_to_Region3Hebei,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,11952.30928,elec_Region5Innermongolia,false,elec_Region3Hebei
TransmissionLink,Line9ExistingAC_Region3Hebei_to_Region2Tianjin,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,7215.887363,elec_Region3Hebei,false,elec_Region2Tianjin
TransmissionLink,Line10ExistingAC_Region2Tianjin_to_Region15Shandong,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,8691.826206,elec_Region2Tianjin,false,elec_Region15Shandong
TransmissionLink,Line11ExistingAC_Region5Innermongolia_to_Region4Shanxi,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,7430.569377,elec_Region5Innermongolia,false,elec_Region4Shanxi
TransmissionLink,Line12ExistingAC_Region4Shanxi_to_Region3Hebei,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,8329.550308,elec_Region4Shanxi,false,elec_Region3Hebei
TransmissionLink,Line13ExistingAC_Region3Hebei_to_Region2Tianjin,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,7269.557867,elec_Region3Hebei,false,elec_Region2Tianjin
TransmissionLink,Line14ExistingAC_Region27Shaanxi_to_Region4Shanxi,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,8651.573328,elec_Region27Shaanxi,false,elec_Region4Shanxi
TransmissionLink,Line15ExistingAC_Region4Shanxi_to_Region3Hebei,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,8423.473689,elec_Region4Shanxi,false,elec_Region3Hebei
TransmissionLink,Line16ExistingAC_Region3Hebei_to_Region15Shandong,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,11887.90468,elec_Region3Hebei,false,elec_Region15Shandong
TransmissionLink,Line17ExistingAC_Region3Hebei_to_Region1Beijing,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,8020.944914,elec_Region3Hebei,false,elec_Region1Beijing
TransmissionLink,Line18ExistingAC_Region3Hebei_to_Region1Beijing,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,9188.278362,elec_Region3Hebei,false,elec_Region1Beijing
TransmissionLink,Line19ExistingAC_Region15Shandong_to_Region3Hebei,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,16012.48286,elec_Region15Shandong,false,elec_Region3Hebei
TransmissionLink,Line20ExistingAC_Region5Innermongolia_to_Region4Shanxi,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.02,0,10000,9094.354981,elec_Region5Innermongolia,false,elec_Region4Shanxi
TransmissionLink,Line21ExistingAC_Region24Guizhou_to_Region20Guangxi,100,false,Electricity,0.062,100,true,4800,true,true,true,false,0.02,0,4800,18466.7064,elec_Region24Guizhou,false,elec_Region20Guangxi
TransmissionLink,Line22ExistingAC_Region20Guangxi_to_Region19Guangdong,100,false,Electricity,0.062,100,true,4800,true,true,true,false,0.02,0,4800,18466.7064,elec_Region20Guangxi,false,elec_Region19Guangdong
