Type,id,edges--edge--capital_recovery_period,edges--edge--unidirectional,edges--edge--commodity,edges--edge--lifetime,edges--edge--has_capacity,transforms--timedata,edges--edge--can_retire,edges--edge--can_expand,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--capacity_size,edges--edge--end_vertex,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--wacc
VRE,Region1Beijing_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,81,system/vre_availability_1.csv,Region1Beijing_PV_Central,200,elec_Region1Beijing,0,50742.67199,true,0,0.017
VRE,Region2Tianjin_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,3513,system/vre_availability_1.csv,Region2Tianjin_PV_Central,200,elec_Region2Tianjin,0,50742.67199,true,0,0.017
VRE,Region3Hebei_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,42941,system/vre_availability_1.csv,Region3Hebei_PV_Central,200,elec_Region3Hebei,0,50742.67199,true,0,0.017
VRE,Region4Shanxi_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,25009,system/vre_availability_1.csv,Region4Shanxi_PV_Central,200,elec_Region4Shanxi,0,50742.67199,true,0,0.017
VRE,Region5Innermongolia_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,45027,system/vre_availability_1.csv,Region5Innermongolia_PV_Central,200,elec_Region5Innermongolia,0,50742.67199,true,0,0.017
VRE,Region6Liaoning_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,5421,system/vre_availability_1.csv,Region6Liaoning_PV_Central,200,elec_Region6Liaoning,0,50742.67199,true,0,0.017
VRE,Region7Jilin_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,3820,system/vre_availability_1.csv,Region7Jilin_PV_Central,200,elec_Region7Jilin,0,50742.67199,true,0,0.017
VRE,Region8Heilongjiang_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,4711,system/vre_availability_1.csv,Region8Heilongjiang_PV_Central,200,elec_Region8Heilongjiang,0,50742.67199,true,0,0.017
VRE,Region9Shanghai_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,398,system/vre_availability_1.csv,Region9Shanghai_PV_Central,200,elec_Region9Shanghai,0,50742.67199,true,0,0.017
VRE,Region10Jiangsu_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,15950,system/vre_availability_1.csv,Region10Jiangsu_PV_Central,200,elec_Region10Jiangsu,0,50742.67199,true,0,0.017
VRE,Region11Zhejiang_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,8339,system/vre_availability_1.csv,Region11Zhejiang_PV_Central,200,elec_Region11Zhejiang,0,50742.67199,true,0,0.017
VRE,Region12Anhui_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,14419,system/vre_availability_1.csv,Region12Anhui_PV_Central,200,elec_Region12Anhui,0,50742.67199,true,0,0.017
VRE,Region13Fujian_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,765,system/vre_availability_1.csv,Region13Fujian_PV_Central,200,elec_Region13Fujian,0,50742.67199,true,0,0.017
VRE,Region14Jiangxi_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,13745,system/vre_availability_1.csv,Region14Jiangxi_PV_Central,200,elec_Region14Jiangxi,0,50742.67199,true,0,0.017
VRE,Region15Shandong_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,25929,system/vre_availability_1.csv,Region15Shandong_PV_Central,200,elec_Region15Shandong,0,50742.67199,true,0,0.017
VRE,Region16Henan_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,6300,system/vre_availability_1.csv,Region16Henan_PV_Central,200,elec_Region16Henan,0,50742.67199,true,0,0.017
VRE,Region17Hubei_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,21478,system/vre_availability_1.csv,Region17Hubei_PV_Central,200,elec_Region17Hubei,0,50742.67199,true,0,0.017
VRE,Region18Hunan_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,4861,system/vre_availability_1.csv,Region18Hunan_PV_Central,200,elec_Region18Hunan,0,50742.67199,true,0,0.017
VRE,Region19Guangdong_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,13733,system/vre_availability_1.csv,Region19Guangdong_PV_Central,200,elec_Region19Guangdong,0,50742.67199,true,0,0.017
VRE,Region20Guangxi_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,10886,system/vre_availability_1.csv,Region20Guangxi_PV_Central,200,elec_Region20Guangxi,0,50742.67199,true,0,0.017
VRE,Region21Hainan_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,4725,system/vre_availability_1.csv,Region21Hainan_PV_Central,200,elec_Region21Hainan,0,50742.67199,true,0,0.017
VRE,Region22Chongqing_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,1072,system/vre_availability_1.csv,Region22Chongqing_PV_Central,200,elec_Region22Chongqing,0,50742.67199,true,0,0.017
VRE,Region23Sichuan_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,8893,system/vre_availability_1.csv,Region23Sichuan_PV_Central,200,elec_Region23Sichuan,0,50742.67199,true,0,0.017
VRE,Region24Guizhou_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,18760,system/vre_availability_1.csv,Region24Guizhou_PV_Central,200,elec_Region24Guizhou,0,50742.67199,true,0,0.017
VRE,Region25Yunnan_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,34331,system/vre_availability_1.csv,Region25Yunnan_PV_Central,200,elec_Region25Yunnan,0,50742.67199,true,0,0.017
VRE,Region26Tibet_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,3984,system/vre_availability_1.csv,Region26Tibet_PV_Central,200,elec_Region26Tibet,0,50742.67199,true,0,0.017
VRE,Region27Shaanxi_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,25239,system/vre_availability_1.csv,Region27Shaanxi_PV_Central,200,elec_Region27Shaanxi,0,50742.67199,true,0,0.017
VRE,Region28Gansu_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,29549,system/vre_availability_1.csv,Region28Gansu_PV_Central,200,elec_Region28Gansu,0,50742.67199,true,0,0.017
VRE,Region29Qinghai_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,36043,system/vre_availability_1.csv,Region29Qinghai_PV_Central,200,elec_Region29Qinghai,0,50742.67199,true,0,0.017
VRE,Region30Ningxia_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,24493,system/vre_availability_1.csv,Region30Ningxia_PV_Central,200,elec_Region30Ningxia,0,50742.67199,true,0,0.017
VRE,Region31Xinjiang_PV_Central,20,true,Electricity,20,true,Electricity,true,true,-1,9236.111111,56479,system/vre_availability_1.csv,Region31Xinjiang_PV_Central,200,elec_Region31Xinjiang,0,50742.67199,true,0,0.017
VRE,Region1Beijing_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,240,system/vre_availability_1.csv,Region1Beijing_Wind_Onshore,200,elec_Region1Beijing,0,58549.23691,true,0,0.017
VRE,Region2Tianjin_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,2073,system/vre_availability_1.csv,Region2Tianjin_Wind_Onshore,200,elec_Region2Tianjin,0,58549.23691,true,0,0.017
VRE,Region3Hebei_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,37790,system/vre_availability_1.csv,Region3Hebei_Wind_Onshore,200,elec_Region3Hebei,0,58549.23691,true,0,0.017
VRE,Region4Shanxi_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,26160,system/vre_availability_1.csv,Region4Shanxi_Wind_Onshore,200,elec_Region4Shanxi,0,58549.23691,true,0,0.017
VRE,Region5Innermongolia_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,85990,system/vre_availability_1.csv,Region5Innermongolia_Wind_Onshore,200,elec_Region5Innermongolia,0,58549.23691,true,0,0.017
VRE,Region6Liaoning_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,16497,system/vre_availability_1.csv,Region6Liaoning_Wind_Onshore,200,elec_Region6Liaoning,0,58549.23691,true,0,0.017
VRE,Region7Jilin_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,15730,system/vre_availability_1.csv,Region7Jilin_Wind_Onshore,200,elec_Region7Jilin,0,58549.23691,true,0,0.017
VRE,Region8Heilongjiang_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,15060,system/vre_availability_1.csv,Region8Heilongjiang_Wind_Onshore,200,elec_Region8Heilongjiang,0,58549.23691,true,0,0.017
VRE,Region9Shanghai_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,401,system/vre_availability_1.csv,Region9Shanghai_Wind_Onshore,200,elec_Region9Shanghai,0,58549.23691,true,0,0.017
VRE,Region10Jiangsu_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,11405,system/vre_availability_1.csv,Region10Jiangsu_Wind_Onshore,200,elec_Region10Jiangsu,0,58549.23691,true,0,0.017
