Time_Index,Demand_Tonnes_Region1Beijing,Demand_Tonnes_Region2Tianjin,Demand_Tonnes_Region3Hebei,Demand_Tonnes_Region4Shanxi,Demand_Tonnes_Region5Innermongolia,Demand_Tonnes_Region6Liaoning,Demand_Tonnes_Region7Jilin,Demand_Tonnes_Region8Heilongjiang,Demand_Tonnes_Region9Shanghai,Demand_Tonnes_Region10Jiangsu,Demand_Tonnes_Region11Zhejiang,Demand_Tonnes_Region12Anhui,Demand_Tonnes_Region13Fujian,Demand_Tonnes_Region14Jiangxi,Demand_Tonnes_Region15Shandong,Demand_Tonnes_Region16Henan,Demand_Tonnes_Region17Hubei,Demand_Tonnes_Region18Hunan,Demand_Tonnes_Region19Guangdong,Demand_Tonnes_Region20Guangxi,Demand_Tonnes_Region21Hainan,Demand_Tonnes_Region22Chongqing,Demand_Tonnes_Region23Sichuan,Demand_Tonnes_Region24Guizhou,Demand_Tonnes_Region25Yunnan,Demand_Tonnes_Region26Tibet,Demand_Tonnes_Region27Shaanxi,Demand_Tonnes_Region28Gansu,Demand_Tonnes_Region29Qinghai,Demand_Tonnes_Region30Ningxia,Demand_Tonnes_Region31Xinjiang
1,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
2,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
3,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
4,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
5,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
6,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
7,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
8,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
9,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
10,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
11,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
12,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
13,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
14,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
15,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
16,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
17,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
18,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
19,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
20,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
21,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
22,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
23,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
24,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
25,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
26,15247.34018,228.2648402,6253.207763,8167.16895,4769.531963,16268.92694,11415.5137,6782.442922,1764.189498,11564.60046,2225.502283,10982.81963,11191.03881,9399.760274,4330,16402.7968,9615.125571,2332.237443,4373.789954,1907.865297,1360.924658,6625.490868,14805.53653,504.1666667,5327.648402,14131.74658,552.4771689,5487.93379,1366.015982,10611.66667,14529.52055
