Region1Beijing_PV_Central,Region2Tianjin_PV_Central,Region3Hebei_PV_Central,Region4Shanxi_PV_Central,Region5Innermongolia_PV_Central,Region6Liaoning_PV_Central,Region7Jilin_PV_Central,Region8Heilongjiang_PV_Central,Region9Shanghai_PV_Central,Region10Jiangsu_PV_Central,Region11Zhejiang_PV_Central,Region12Anhui_PV_Central,Region13Fujian_PV_Central,Region14Jiangxi_PV_Central,Region15Shandong_PV_Central,Region16Henan_PV_Central,Region17Hubei_PV_Central,Region18Hunan_PV_Central,Region19Guangdong_PV_Central,Region20Guangxi_PV_Central,Region21Hainan_PV_Central,Region22Chongqing_PV_Central,Region23Sichuan_PV_Central,Region24Guizhou_PV_Central,Region25Yunnan_PV_Central,Region26Tibet_PV_Central,Region27Shaanxi_PV_Central,Region28Gansu_PV_Central,Region29Qinghai_PV_Central,Region30Ningxia_PV_Central,Region31Xinjiang_PV_Central,Region1Beijing_PV_Distribution,Region2Tianjin_PV_Distribution,Region3Hebei_PV_Distribution,Region4Shanxi_PV_Distribution,Region5Innermongolia_PV_Distribution,Region6Liaoning_PV_Distribution,Region7Jilin_PV_Distribution,Region8Heilongjiang_PV_Distribution,Region9Shanghai_PV_Distribution,Region10Jiangsu_PV_Distribution,Region11Zhejiang_PV_Distribution,Region12Anhui_PV_Distribution,Region13Fujian_PV_Distribution,Region14Jiangxi_PV_Distribution,Region15Shandong_PV_Distribution,Region16Henan_PV_Distribution,Region17Hubei_PV_Distribution,Region18Hunan_PV_Distribution,Region19Guangdong_PV_Distribution,Region20Guangxi_PV_Distribution,Region21Hainan_PV_Distribution,Region22Chongqing_PV_Distribution,Region23Sichuan_PV_Distribution,Region24Guizhou_PV_Distribution,Region25Yunnan_PV_Distribution,Region26Tibet_PV_Distribution,Region27Shaanxi_PV_Distribution,Region28Gansu_PV_Distribution,Region29Qinghai_PV_Distribution,Region30Ningxia_PV_Distribution,Region31Xinjiang_PV_Distribution,Region1Beijing_Wind_Onshore,Region2Tianjin_Wind_Onshore,Region3Hebei_Wind_Onshore,Region4Shanxi_Wind_Onshore,Region5Innermongolia_Wind_Onshore,Region6Liaoning_Wind_Onshore,Region7Jilin_Wind_Onshore,Region8Heilongjiang_Wind_Onshore,Region9Shanghai_Wind_Onshore,Region10Jiangsu_Wind_Onshore,Region11Zhejiang_Wind_Onshore,Region12Anhui_Wind_Onshore,Region13Fujian_Wind_Onshore,Region14Jiangxi_Wind_Onshore,Region15Shandong_Wind_Onshore,Region16Henan_Wind_Onshore,Region17Hubei_Wind_Onshore,Region18Hunan_Wind_Onshore,Region19Guangdong_Wind_Onshore,Region20Guangxi_Wind_Onshore,Region21Hainan_Wind_Onshore,Region22Chongqing_Wind_Onshore,Region23Sichuan_Wind_Onshore,Region24Guizhou_Wind_Onshore,Region25Yunnan_Wind_Onshore,Region26Tibet_Wind_Onshore,Region27Shaanxi_Wind_Onshore,Region28Gansu_Wind_Onshore,Region29Qinghai_Wind_Onshore,Region30Ningxia_Wind_Onshore,Region31Xinjiang_Wind_Onshore,Region1Beijing_Wind_Offshore,Region2Tianjin_Wind_Offshore,Region3Hebei_Wind_Offshore,Region4Shanxi_Wind_Offshore,Region5Innermongolia_Wind_Offshore,Region6Liaoning_Wind_Offshore,Region7Jilin_Wind_Offshore,Region8Heilongjiang_Wind_Offshore,Region9Shanghai_Wind_Offshore,Region10Jiangsu_Wind_Offshore,Region11Zhejiang_Wind_Offshore,Region12Anhui_Wind_Offshore,Region13Fujian_Wind_Offshore,Region14Jiangxi_Wind_Offshore,Region15Shandong_Wind_Offshore,Region16Henan_Wind_Offshore,Region17Hubei_Wind_Offshore,Region18Hunan_Wind_Offshore,Region19Guangdong_Wind_Offshore,Region20Guangxi_Wind_Offshore,Region21Hainan_Wind_Offshore,Region22Chongqing_Wind_Offshore,Region23Sichuan_Wind_Offshore,Region24Guizhou_Wind_Offshore,Region25Yunnan_Wind_Offshore,Region26Tibet_Wind_Offshore,Region27Shaanxi_Wind_Offshore,Region28Gansu_Wind_Offshore,Region29Qinghai_Wind_Offshore,Region30Ningxia_Wind_Offshore,Region31Xinjiang_Wind_Offshore,Region1Beijing_Hydropower,Region2Tianjin_Hydropower,Region3Hebei_Hydropower,Region4Shanxi_Hydropower,Region5Innermongolia_Hydropower,Region6Liaoning_Hydropower,Region7Jilin_Hydropower,Region8Heilongjiang_Hydropower,Region9Shanghai_Hydropower,Region10Jiangsu_Hydropower,Region11Zhejiang_Hydropower,Region12Anhui_Hydropower,Region13Fujian_Hydropower,Region14Jiangxi_Hydropower,Region15Shandong_Hydropower,Region16Henan_Hydropower,Region17Hubei_Hydropower,Region18Hunan_Hydropower,Region19Guangdong_Hydropower,Region20Guangxi_Hydropower,Region21Hainan_Hydropower,Region22Chongqing_Hydropower,Region23Sichuan_Hydropower,Region24Guizhou_Hydropower,Region25Yunnan_Hydropower,Region26Tibet_Hydropower,Region27Shaanxi_Hydropower,Region28Gansu_Hydropower,Region29Qinghai_Hydropower,Region30Ningxia_Hydropower,Region31Xinjiang_Hydropower
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229725242,0.475743047,0.592420487,0.348717748,0.548234137,0.175871678,0.352824767,0.44570788,0.821847161,0.412943524,0.355467156,0.18763683,0.45624968,0.385452171,0.242764649,0.300399358,0.373230872,0.533958186,0.136192008,0.337452613,0.126110338,0.452670117,0.340701955,0.338773174,0.372968697,0.112488796,0.610824171,0.557889964,0.337874648,0.476968854,0.155884106,0,0,0.26596195,0,0,0.85,0,0,0.137435534,0.85,0.437414644,0,0.105977732,0,0.812978258,0,0,0,0.382925403,0.382925403,0.137435534,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171558938,0.504956522,0.584933487,0.336770962,0.526339254,0.156334532,0.343449076,0.440927698,0.809523358,0.370894628,0.408703786,0.21607706,0.475696341,0.394472352,0.2485894,0.318851855,0.402434623,0.520733467,0.227797331,0.328904156,0.116391664,0.492885566,0.429069401,0.297220945,0.379749691,0.119727373,0.631645609,0.570367257,0.324506404,0.481307915,0.155884106,0,0.088479874,0.393675388,0,0,0.85,0,0,0.137351361,0.85,0.383276988,0,0.112358847,0,0.779814642,0,0,0,0.417154151,0.417154151,0.137351361,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090833923,0.577536941,0.604220474,0.336770962,0.507043361,0.132007347,0.34170551,0.446368864,0.80333614,0.298122639,0.440725818,0.189142024,0.495502043,0.381920994,0.230736813,0.321766274,0.41626395,0.508808018,0.306876997,0.338862073,0.121160991,0.502244726,0.368874489,0.247556128,0.382423827,0.123305242,0.629378274,0.587072958,0.315986396,0.471082106,0.151166461,0,0.147081581,0.518701252,0,0,0.85,0,0,0.157900358,0.85,0.352807756,0,0.140202487,0,0.689407013,0,0,0,0.439699617,0.439699617,0.157900358,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679178878,0.637724469,0.351203137,0.508644829,0.119577725,0.3584795,0.451584799,0.803705201,0.255571742,0.473171823,0.181515453,0.514704975,0.359761314,0.187420205,0.31380894,0.42441591,0.52553287,0.413147491,0.343293929,0.133952839,0.502469652,0.32491357,0.223862969,0.382635247,0.123305242,0.600616348,0.606032444,0.313500692,0.470917173,0.141598484,0,0.216378791,0.570245686,0,0,0.85,0,0,0.171550686,0.846552713,0.342195774,0,0.167037104,0,0.602706615,0,0,0,0.476069111,0.476069111,0.171550686,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752864154,0.707124765,0.360376318,0.508967619,0.132389665,0.37106731,0.457891614,0.797498058,0.239718139,0.460969259,0.22735175,0.530619149,0.328463967,0.143401852,0.281068235,0.46006439,0.545474505,0.501487058,0.346534152,0.160282303,0.46268437,0.295879405,0.225099487,0.365973207,0.123305242,0.562802183,0.584155324,0.314339746,0.485559498,0.133197919,0,0.280825691,0.569955687,0,0,0.848161932,0,0,0.178232827,0.833936607,0.3048589,0,0.179630958,0,0.565430991,0,0,0,0.537957559,0.537957559,0.178232827,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006223088,0.761066511,0.807730156,0.367706774,0.527109194,0.149596903,0.371579079,0.451656202,0.780511248,0.240112673,0.444505524,0.295269161,0.530170951,0.276912836,0.123995403,0.260173694,0.489798319,0.545686337,0.552631183,0.346665299,0.174083881,0.420833283,0.30887615,0.214632269,0.340809176,0.118510243,0.535916923,0.573407139,0.309546336,0.503121593,0.125962988,0,0.400860941,0.580472233,0,0,0.832721844,0,0,0.197240805,0.820951406,0.263504395,0,0.185559116,0,0.565654266,0,0,0,0.631870016,0.631870016,0.197240805,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083365083,0.679108068,0.785227031,0.338182287,0.51664315,0.149016592,0.371505789,0.443433246,0.717524143,0.203653319,0.459824196,0.280749495,0.506510365,0.255296724,0.147395463,0.221906314,0.45500178,0.537390678,0.603013574,0.386227093,0.256952908,0.408600498,0.305626843,0.21091006,0.331281063,0.172231828,0.504933927,0.520688622,0.273873332,0.470865724,0.155202764,0,0.428234261,0.533236034,0,0,0.814891885,0,0,0.273558768,0.783962485,0.336131338,0,0.305523191,0,0.578295678,0,0,0,0.708005021,0.708005021,0.273558768,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225613112,0.506723216,0.642873962,0.255372141,0.434385922,0.160797125,0.328564118,0.428045803,0.693351016,0.194558596,0.539657663,0.238067587,0.484565495,0.289682029,0.203235266,0.168441855,0.422670788,0.575839984,0.687774581,0.485389375,0.450231885,0.432810534,0.287127526,0.273044059,0.305642234,0.301970226,0.406305372,0.389758662,0.198382915,0.35662095,0.217226389,0,0.326317519,0.404011172,0,0,0.808361061,0,0,0.490974888,0.774779582,0.528768582,0,0.532137122,0,0.663269219,0,0,0,0.761311341,0.761311341,0.490974888,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.006700566,0.019049052,0.00028013,0.000362391,0.005399353,0.047051978,0.036772956,0.037512287,0.138848003,0.074315575,0.137287988,0.064439237,0.127568552,0.077922585,0.048403769,0.006570529,0.034978771,0.040773028,0.081846625,0.027042029,0.017337009,0,0,0.002630681,0,0,0,0,0,0,0,0.005025424,0.013334336,0.000536855,0,0,0.072356118,0,0,0.104136002,0.089829184,0.100063628,0.058940718,0.102616139,0.072538133,0.017160061,0.003130833,0.040718663,0.036781447,0.037821259,0.004180577,0.031837615,0,0,0,0,0,0,0,0,0,0,0.299677253,0.399007024,0.553327913,0.201296811,0.380880582,0.168313313,0.300104468,0.417339831,0.68917687,0.195826494,0.588735988,0.214246769,0.471790071,0.311587348,0.233311746,0.137640425,0.409573764,0.601262599,0.737097124,0.543883884,0.558511642,0.448247064,0.273577606,0.31161121,0.288733056,0.373370547,0.342110889,0.304443234,0.151919053,0.283935041,0.251313946,0,0.262885124,0.319926356,0,0,0.804605011,0,0,0.606243655,0.772791347,0.632103282,0,0.63933909,0,0.721083065,0,0,0,0.78825781,0.78825781,0.606243655,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.212217786,0.225016429,0.191766836,0.190001164,0.152006329,0.308650524,0.290394638,0.260993897,0.353635305,0.295956391,0.352727439,0.283412023,0.320297007,0.243355358,0.278530929,0.142634143,0.183174126,0.179856934,0.268395622,0.199604905,0.050416657,0.107606586,0.088392475,0.085402172,0.04670627,0.01331818,0.118536863,0.019890653,0.014525931,0.074651093,0,0.15916334,0.1575115,0.147815939,0,0,0.302037927,0,0,0.265226479,0.254002559,0.26917984,0.23123289,0.25861858,0.235217123,0.173186902,0.075494083,0.145001067,0.184653053,0.180381944,0.128759288,0.067540372,0.091461185,0,0.05480857,0.052018938,0.005636494,0,0,0,0,0,0.403533333,0.199140878,0.391513949,0.106624605,0.28255115,0.17606824,0.237911332,0.387572657,0.691823353,0.200315811,0.678856395,0.172300458,0.449629027,0.339674152,0.274914272,0.080164645,0.369284638,0.644973264,0.817954711,0.637646295,0.732028233,0.474787884,0.245942247,0.358075891,0.258407257,0.508751641,0.229106625,0.145682631,0.062414059,0.156040441,0.31143051,0,0.146497066,0.159967354,0,0,0.796936865,0,0,0.782997147,0.76980405,0.790224517,0,0.793823741,0,0.813842204,0,0,0,0.832472073,0.832472073,0.782997147,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
