Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,21154.573886302784,14928.552889835888,66188.22361791546,46133.17145921598,64832.94660695411,42845.69188313058,13630.919352592487,16870.693782449387,28205.57270834194,129299.91959541365,89120.3251188837,45300.395188878036,40903.55011773993,30717.09656095352,128874.59286925418,56725.94809925108,39871.47059209697,38225.44174200195,124663.76057720931,45997.099593539344,7156.319710687332,25927.984907047896,69631.51079796515,34888.8579983749,37844.42205854842,2527.606815698888,58842.79442025725,40237.1878377665,23585.202417405068,34654.89168967294,89943.69782416345
2,18956.763321244474,14935.801476808567,58784.21805632204,44846.84066089284,63994.330853227395,42291.24024971132,13406.112355309973,16964.831673591518,26403.421220007876,128332.64863310485,84681.79309482299,42574.16310192844,38642.22014339809,30245.043041073863,128033.63155185913,57221.562074850626,38257.20209534402,37567.501669091725,119775.65807358152,45237.93779128856,6845.572360358511,25269.777995079403,68283.83032822941,34038.948308874234,37111.851205621504,2484.097110848481,58298.71491649263,40051.531461582126,23530.908620425973,34615.16118190455,89683.34901553951
3,18841.529227014642,14593.67530126281,59120.3820568668,45960.14915070229,63686.5220929,42296.30825035492,13345.676507756718,16773.807319905663,23517.278311698054,124876.88310063936,81795.7426471264,41636.72573738871,37219.82349276186,29839.583522524685,127129.0993080455,55737.516691404824,36647.8810295096,37290.38653156112,114923.25734770352,44686.53165031135,6628.062913192313,25173.948575885537,67121.16169051226,33436.31343808419,36000.84976469859,2452.5531203688693,57901.48823462971,40013.10210014829,23433.964556640112,34577.745873763975,89160.05660381148
4,19473.96941659099,14566.535563768743,64424.3727430209,45944.693576443715,63907.461547800856,42535.20130758808,13318.638198748346,16749.013481048813,22665.724914082188,122450.83602445944,80186.27252842959,41080.859127608404,36636.20817496626,29286.45494919024,125773.63322606952,54752.845305210205,34403.49851405163,37095.849039254615,112510.74195735074,44445.88419350757,6606.090895512006,25111.098055024027,66558.99437395704,33019.97271813399,35251.71678463035,2432.054740062643,57642.081960483,39973.10659008237,23504.886484566516,34519.440097897066,88405.62330083793
5,20017.580172073358,14480.876737884606,65595.33755709804,45954.07310964694,65142.27799373639,43269.24115172499,13539.870314874954,17083.722793029643,22600.38987430464,121375.19108241772,80089.4844643961,41342.158802278565,36564.0220071377,29218.93076122063,128695.1146599604,54752.845305210205,36969.340768043665,37213.80062395079,110107.51553939549,44337.22124940227,6711.184753296617,26237.763019404476,67260.33692789156,33144.938235453075,35627.15196183646,2434.3290127170126,57670.912812765506,40177.70231090911,23502.36348223012,34547.62331018305,89160.05660381148
6,20984.648208395112,15455.86742906474,68838.48296542818,46641.893235388285,68706.2590655477,45536.25153929746,13919.048210054325,17969.01754357213,22750.706590700145,121801.33117013589,82312.85575368308,43246.5151281981,37954.40818123332,30497.805674941363,131978.11046743722,55244.70862014312,39871.47059209697,37694.61921735148,112510.74195735074,45034.27506244561,6987.012895549679,28541.71261082128,70628.05621857362,32978.30541977952,36372.843987399785,2506.4675002591594,58579.000449834035,40565.16795698193,23632.105659141456,34683.03913100304,89422.13803311293
7,22814.446484344357,16815.97540776926,73354.38462342296,47909.331862225576,72893.6511936492,45662.522319537784,14830.718762956956,19589.59868546084,24484.440942719764,128806.07431581893,90364.4042987378,47755.77537887329,41821.34769573149,34262.38312994423,138026.58328982396,58713.94207066475,42464.1667586533,38058.92661240911,119775.65807358152,46950.2903990708,7341.502148718812,30585.472572593473,72841.18104852882,33602.68187125139,37111.851205621504,2678.7545962095364,60699.83074381772,41199.888887183326,24062.997219798075,34938.26857294778,90461.84136932042
8,25310.869848733848,18809.982282849607,76958.78709050747,48203.33269633178,72368.74595582366,46153.82104326495,15437.887902283868,20219.349032007147,28539.449604027224,139234.74228481087,105604.55736337233,52566.01703567466,46221.49437710704,38554.91527432614,138995.11742022057,63747.20944547437,47028.921221898105,40510.32964768427,154694.90399533932,48776.31260027619,7977.662812444484,34596.07229992159,69103.63435407093,36190.195471070336,38931.714956495816,2777.467080121896,61886.41525773718,41383.90525707085,24007.945314923978,34340.20906522725,90976.63231986888
9,27566.170089757943,21533.76964036675,81966.10808186464,48308.909236680796,73260.57997632737,47396.93520208959,15479.788523704165,20155.45688536799,33783.421582056064,145464.79779335545,117577.47737560561,54530.729279166204,49654.394989933855,43583.98070276993,140449.74922685395,66809.2344605275,51626.224141838036,43181.84302825415,191105.55151911647,50084.47665410785,8616.535866881193,36276.7183022675,73584.47643516827,37486.15170897384,43498.44618961508,3028.6595169025627,64820.391379607514,42085.566216193576,24103.62358365567,34767.89720916418,91460.59444274368
10,29167.326974938605,22605.000083085306,83944.13034257575,49842.51879180943,75249.48972746954,48555.32051905388,15717.765630997303,20350.840376144137,39730.12166602495,152127.41110786464,124684.42292662294,55127.66238607128,51841.52635758815,45427.40667117862,140222.36064252077,72501.67007174289,53275.51809259969,43974.43380954724,204432.9110175142,50472.76673001842,9058.48246841453,38124.26644029989,75829.0955774282,41648.27517624853,44522.112803293436,3091.380336708864,65535.11931321277,42269.02826812702,24017.242487197364,34836.688141973325,92249.34255117217
