Province,Region,Onshore_Wind_MW,Offshore_Wind_Near_MW,Offshore_Wind_Far_MW,Total_Wind_MW,Central_PV_MW,Distributed_PV_MW,Total_PV_MW
East Inner Mongolia,Northeast,619000,0,0,619000,835000,88000,923000
Heilongjiang,Northeast,706000,0,0,706000,149000,152000,301000
Jilin,Northeast,304000,0,0,304000,243000,113000,356000
Liaoning,Northeast,176000,80000,33000,289000,17000,174000,191000
Gansu,Northwest,321000,0,0,321000,2682000,76000,2758000
Ningxia,Northwest,82000,0,0,82000,253000,29000,282000
Qinghai,Northwest,186000,0,0,186000,3886000,28000,3914000
Shaanxi,Northwest,165000,0,0,165000,298000,75000,373000
Xinjiang,Northwest,618000,0,0,618000,21054000,144000,21198000
Beijing,North,0,0,0,0,2000,59000,61000
Hebei,North,281000,53000,0,334000,59000,279000,338000
Shandong,North,296000,178000,122000,596000,21000,395000,417000
Shanxi,North,127000,0,0,127000,194000,117000,311000
Tianjin,North,11000,4000,0,15000,0,42000,42000
West Inner Mongolia,North,2078000,0,0,2078000,8395000,142000,8537000
Chongqing,West,43000,0,0,43000,1000,21000,22000
Guizhou,West,109000,0,0,109000,76000,28000,104000
Sichuan,West,223000,0,0,223000,75000,82000,157000
Tibet,West,524000,0,0,524000,3327000,4000,3331000
Guangdong,South,141000,220000,316000,677000,19000,182000,201000
Guangxi,South,181000,69000,0,250000,101000,86000,187000
Hainan,South,45000,41000,160000,246000,10000,19000,29000
Taiwan,South,10000,0,0,10000,0,28000,28000
Hong Kong,South,0,0,0,0,0,3000,3000
Yunnan,South,132000,0,0,132000,60000,55000,115000
Henan,Central,291000,0,0,291000,14000,289000,303000
Hubei,Central,206000,0,0,206000,33000,124000,157000
Hunan,Central,174000,0,0,174000,9000,83000,92000
Jiangxi,Central,152000,0,0,152000,27000,70000,97000
Anhui,East,225000,0,0,225000,11000,222000,233000
Fujian,East,32000,159000,130000,321000,18000,73000,91000
Jiangsu,East,177000,242000,22000,441000,5000,297000,302000
Shanghai,East,10000,36000,9000,55000,0,37000,38000
Zhejiang,East,50000,113000,266000,429000,4000,108000,112000
NATIONAL TOTAL,,8694000,1200000,1060000,10948000,41878000,3726000,45604000
