Typology,Basin,Saline Aquifer Max (Mt/a),Saline Aquifer Min (Mt/a),Saline Aquifer Mean (Mt/a),Saline Aquifer SD (Mt/a),Oilfield Max (Mt/a),Oilfield Min (Mt/a),Oilfield Mean (Mt/a),Oilfield SD (Mt/a)
Onshore,Songliao Basin,1.64,0.02,0.42,0.30,55.77,0.00,7.05,13.62
Onshore,Tuepan-Hami Basin,28.63,1.33,10.26,7.07,27.58,6.74,17.37,9.63
Onshore,Subei Basin,34.07,1.78,13.58,7.58,134.77,0.00,53.30,52.14
Onshore,Bohai Bay Basin (onshore),122.77,4.09,23.82,28.97,152.46,0.00,35.61,29.38
Onshore,Qaidam Basin,17.56,5.85,9.43,3.02,20.62,4.40,19.85,3.54
Onshore,Nanxiang Basin,124.67,0.07,14.86,22.12,52.40,42.11,46.03,4.36
Onshore,Sanjiang Basin,94.65,2.37,50.05,17.38,,,,
Onshore,Hailar Basin,0.06,0.01,0.02,0.00,1.65,0.88,1.22,0.40
Onshore,Jianghan Basin,0.31,0.007,0.08,0.08,69.89,0.01,6.86,11.47
Onshore,Tarim Basin,32.50,0.10,5.78,4.97,9.41,0.00,3.14,4.86
Onshore,Ordos Basin,0.79,0.003,0.10,0.17,8.32,0.00,2.19,2.68
Onshore,Ejinjina Basin,0.12,0.03,0.05,0.00,0.05,0.04,0.05,0.00
Onshore,Hehuai Basin,51.87,0.009,3.58,6.12,14.64,5.63,10.14,6.37
Onshore,Qinshui Basin,0.17,0.08,0.12,0.00,,,,
Onshore,Erlian Basin,14.67,0.98,4.56,2.80,12.72,0.00,6.67,2.90
Onshore,Junggar Basin,2.28,0.13,0.80,0.45,18.49,0.09,5.61,6.43
Onshore,Sichuan Basin,0.02,0.006,0.01,0.00,2.76,0.006,0.21,0.65
Offshore,Bohai Bay Basin (offshore),34.44,5.31,16.81,6.75,307.97,0.00,35.94,35.35
Offshore,North Yellow Sea Basin,67.35,0.85,14.77,11.21,,,,
Offshore,South Yellow Sea Basin,0.61,0.006,0.07,0.04,,,,
Offshore,East China Sea Basin,61.65,2.36,12.00,11.37,46.30,2.76,20.32,15.07
Offshore,Pearl River Mouth Basin,104.24,0.48,9.30,12.09,2.39,0.00,1.24,0.55
Offshore,Beibu Gulf Basin,101.30,1.43,24.92,16.98,138.32,8.20,70.71,35.15
Offshore,Qiongdongnan Basin,134.40,7.99,44.43,28.70,38.30,0.61,19.45,26.65
