MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,ME_solar_pv,MA_onshore_wind
0.0,0.569944978,0.0,0.920104027,0.000000000,0.788151730
0.0,0.623258889,0.0,0.882233679,0.000000000,0.787871963
0.0,0.694188416,0.0,0.89507395,0.000000000,0.824660907
0.0,0.647399664,0.0,0.87304908,0.000000000,0.782960390
0.0,0.381773531,0.0,0.831012249,0.000000000,0.654180787
0.0,0.244582877,0.0,0.776541591,0.000000000,0.532230226
0.0,0.293396771,0.0,0.704862773,0.000000000,0.521843411
0.0,0.37860319,0.0,0.64796108,0.000000000,0.531477697
0.1779,0.329338044,0.2003,0.526324749,0.202483104,0.488294780
0.429,1.52e-5,0.4221,0.079201177,0.441354541,0.017261577
0.5748,4.55e-5,0.5774,0.02501085,0.597452303,0.022949352
0.6484,0.00057204,0.6504,0.006543793,0.663804052,0.000000000
0.6208,0.086801805,0.6166,0.012104483,0.630002362,0.058819208
0.596,0.341097623,0.6205,0.018969901,0.629954770,0.167297296
0.5013,0.326572925,0.513,0.034807973,0.528192032,0.193670310
0.3311,0.38522929,0.3369,0.089363858,0.345254797,0.235788585
0.0642,0.25948137,0.1068,0.198931903,0.106140100,0.272089325
0.0,0.818314612,0.0,0.486049294,0.000000000,0.687933316
0.0,0.947374165,0.0,0.695741773,0.000000000,0.833341227
0.0,0.884191096,0.0,0.893018901,0.000000000,0.946669537
0.0,0.863175511,0.0,0.884643197,0.000000000,0.900656683
0.0,0.935150564,0.0,0.961134374,0.000000000,0.980145603
0.0,0.973402262,0.0,0.955752611,0.000000000,1.000000000
0.0,0.746089995,0.0,0.952378809,0.000000000,0.881904660
0.0,0.433065981,0.0,0.905306697,0.000000000,0.714125487
0.0,0.503579199,0.0,0.868118405,0.000000000,0.709393082
0.0,0.820716262,0.0,0.810200989,0.000000000,0.845733196
0.0,0.861984015,0.0,0.878156662,0.000000000,0.904356542
0.0,0.635637224,0.0,0.943921924,0.000000000,0.806428290
0.0,0.684829473,0.0,0.907720923,0.000000000,0.851848594
0.0,0.745589137,0.0,0.828339458,0.000000000,0.825971172
0.0,0.27747938,0.0,0.849667013,0.000000000,0.547881100
0.16,0.655076563,0.1615,0.907849193,0.175540880,0.823870597
0.3418,0.843971074,0.4263,0.964260221,0.408026508,0.934358075
0.4952,0.989659667,0.57,0.942756534,0.563627754,0.990524342
0.5654,0.995543838,0.6482,0.85308063,0.669437200,0.939779052
0.5713,1.0,0.6314,0.791825891,0.618732630,0.926326396
0.5414,1.0,0.5409,0.882102609,0.570696832,0.999366444
0.4677,0.998463929,0.4277,0.888284206,0.481774918,0.980835824
0.3193,0.957467973,0.3402,0.899303496,0.349984054,0.934999280
0.1003,0.884891868,0.1301,0.918197513,0.116724464,0.939538583
0.0,0.697858751,0.0,0.785050571,0.000000000,0.768148348
0.0,0.532083452,0.0,0.849610209,0.000000000,0.731406481
0.0,0.179168805,0.0,0.890681326,0.000000000,0.567854940
0.0,0.460624933,0.0,0.895241141,0.000000000,0.696397890
0.0,0.575961411,0.0,0.842129111,0.000000000,0.727221133
0.0,0.526084423,0.0,0.778776944,0.000000000,0.677887329
0.0,0.570720732,0.0,0.798049688,0.000000000,0.683156740
0.0,0.616125405,0.0,0.865914464,0.000000000,0.750188634
0.0,0.687053382,0.0,0.807153344,0.000000000,0.739409050
0.0,0.553053379,0.0,0.573096633,0.000000000,0.582460580
0.0,0.677880645,0.0,0.476775587,0.000000000,0.597950728
0.0,0.80630821,0.0,0.574992657,0.000000000,0.695060244
0.0,0.801423192,0.0,0.604182601,0.000000000,0.725104119
0.0,0.736126423,0.0,0.744862914,0.000000000,0.794837914
0.0,0.630956411,0.0,0.792550921,0.000000000,0.764663737
0.2147,0.731341124,0.1899,0.87292397,0.211367854,0.848535919
0.436,0.992636561,0.4305,0.912224948,0.412000770,0.986096976
0.5787,1.0,0.5707,0.980872095,0.578499374,1.000000000
0.632,1.0,0.6554,0.994781852,0.664740081,1.000000000
0.6451,1.0,0.6621,0.988758683,0.677846260,1.000000000
0.6207,1.0,0.6529,0.998735309,0.660509340,1.000000000
0.5504,1.0,0.5731,0.996199667,0.577650344,1.000000000
0.3781,0.999652565,0.4127,0.983224452,0.414457207,1.000000000
0.1371,0.945950031,0.1725,0.998122811,0.166175401,1.000000000
0.0,0.987837434,0.0,0.997993112,0.000000000,1.000000000
0.0,1.0,0.0,0.997174382,0.000000000,0.996139314
0.0,0.958051622,0.0,0.987223804,0.000000000,1.000000000
0.0,1.0,0.0,0.981596351,0.000000000,1.000000000
0.0,0.996488094,0.0,0.992870092,0.000000000,1.000000000
0.0,0.997731447,0.0,0.954669297,0.000000000,0.987750080
0.0,0.997055888,0.0,0.9347471,0.000000000,1.000000000
0.0,1.0,0.0,0.978952587,0.000000000,1.000000000
0.0,0.999057055,0.0,0.945270836,0.000000000,1.000000000
0.0,0.964799762,0.0,0.929749548,0.000000000,0.959730910
0.0,0.929325104,0.0,0.909057319,0.000000000,0.935839157
0.0,0.906229854,0.0,0.901528418,0.000000000,0.931975368
0.0,0.809327066,0.0,0.910134673,0.000000000,0.924216598
0.0,0.651830137,0.0,0.867187142,0.000000000,0.786015263
0.0,0.48080951,0.0,0.876390636,0.000000000,0.675417108
0.2277,0.378751755,0.2204,0.823099732,0.218723775,0.612904826
0.4502,0.383687705,0.4435,0.801250398,0.470236057,0.623719339
0.6046,0.43698281,0.5641,0.801717401,0.600978136,0.606957427
0.6791,0.027345492,0.6709,0.240071028,0.699600867,0.154204388
0.6728,0.000123209,0.6513,0.299450189,0.698767382,0.075983111
0.6482,5.38e-5,0.6024,0.186628819,0.649046539,0.127772973
0.528,6.64e-5,0.4635,0.105973914,0.528406118,0.075420377
0.3343,0.002060085,0.305,0.071392164,0.325124125,0.015691226
0.028,5.04e-5,0.0783,0.033698864,0.022871836,0.021850333
0.0,0.097491965,0.0,0.225880757,0.000000000,0.170737070
0.0,0.291266352,0.0,0.277302444,0.000000000,0.284544866
0.0,0.210415676,0.0,0.370590001,0.000000000,0.337918769
0.0,0.223368809,0.0,0.342927366,0.000000000,0.270071914
0.0,0.409326077,0.0,0.468558729,0.000000000,0.448280819
0.0,0.685454428,0.0,0.585748136,0.000000000,0.674097468
0.0,0.560226202,0.0,0.687084079,0.000000000,0.690366477
0.0,0.414616615,0.0,0.582934856,0.000000000,0.536271575
0.0,0.492882252,0.0,0.574557364,0.000000000,0.554891448
0.0,0.543901205,0.0,0.535381913,0.000000000,0.573898361
0.0,0.584094465,0.0,0.601786137,0.000000000,0.628733329
0.0,0.575396657,0.0,0.5711748,0.000000000,0.582154932
0.0,0.222339511,0.0,0.524353385,0.000000000,0.360769607
0.0,0.063489825,0.0,0.469980359,0.000000000,0.279572316
0.0,0.034827486,0.0,0.364646316,0.000000000,0.223041783
0.1033,0.0359466,0.1154,0.391142845,0.103872982,0.235231549
0.2804,0.168909371,0.2997,0.372059673,0.304382959,0.278194400
0.4372,0.119043224,0.4896,0.292032659,0.478572738,0.191638751
0.5913,0.057592459,0.5795,0.214939833,0.577176719,0.149662635
0.5349,0.084502511,0.5517,0.320211053,0.595176863,0.199568332
0.4854,0.249637455,0.4408,0.390997708,0.444368326,0.358824560
0.3973,0.350143909,0.4072,0.371668875,0.406828199,0.347099478
0.2948,0.742475271,0.3063,0.564464331,0.331542649,0.669793047
0.0897,0.870121062,0.1054,0.659781039,0.104324360,0.792328489
0.0,0.958805382,0.0,0.668345809,0.000000000,0.853245602
0.0,0.799080312,0.0,0.775924802,0.000000000,0.825969103
0.0,0.399789095,0.0,0.654665828,0.000000000,0.557071484
0.0,0.343781441,0.0,0.754780889,0.000000000,0.577349734
0.0,0.002315517,0.0,0.167690724,0.000000000,0.097218522
0.0,0.094827555,0.0,0.573313653,0.000000000,0.317225959
0.0,0.031066958,0.0,0.43366161,0.000000000,0.252520023
0.0,0.097598262,0.0,0.349793971,0.000000000,0.230326987
0.0,0.058144085,0.0,0.266512692,0.000000000,0.178586891
0.0,0.142925054,0.0,0.180226371,0.000000000,0.172117344
0.0,0.373674929,0.0,0.118735507,0.000000000,0.228854648
0.0,0.434153348,0.0,0.091907203,0.000000000,0.312167258
0.0,0.435889482,0.0,0.070327573,0.000000000,0.269385187
0.0,0.563583791,0.0,0.099923894,0.000000000,0.341163164
0.0,0.845474541,0.0,0.154476166,0.000000000,0.513935551
0.1023,0.694941878,0.139,0.193684876,0.141641367,0.443910455
0.2939,0.832901537,0.4082,0.242370129,0.355375864,0.525277196
0.5036,0.784772754,0.5689,0.246076912,0.584509279,0.554414002
0.62,0.584573805,0.6386,0.237035424,0.673124182,0.418570623
0.5947,0.526055634,0.5749,0.226963848,0.606472372,0.409695951
0.4261,0.535089731,0.557,0.258899093,0.506319851,0.376834635
0.3649,0.20891723,0.3724,0.195579961,0.380094990,0.226339591
0.1992,0.3200486,0.1936,0.375185788,0.181910247,0.369629120
0.0151,0.762181401,0.0704,0.408885181,0.045084835,0.629258537
0.0,0.967575073,0.0,0.427647233,0.000000000,0.773768247
0.0,0.947055817,0.0,0.428736746,0.000000000,0.694106694
0.0,0.922798336,0.0,0.413813174,0.000000000,0.662191753
0.0,0.981649756,0.0,0.354275286,0.000000000,0.689471550
0.0,0.987221539,0.0,0.335782766,0.000000000,0.651821008
0.0,0.972513497,0.0,0.419259131,0.000000000,0.754020393
0.0,0.921534657,0.0,0.374869168,0.000000000,0.685004433
0.0,0.942537785,0.0,0.301030874,0.000000000,0.625945732
0.0,0.942126811,0.0,0.325035155,0.000000000,0.652732340
0.0,0.740993917,0.0,0.387509257,0.000000000,0.571870033
0.0,0.56838423,0.0,0.436268449,0.000000000,0.527464733
0.0,0.254551947,0.0,0.409830958,0.000000000,0.348435305
0.0,0.088092998,0.0,0.362387031,0.000000000,0.278092322
0.0,0.153454423,0.0,0.333725303,0.000000000,0.245642564
0.0,0.125184193,0.0,0.27631855,0.000000000,0.208798061
0.1883,0.232314631,0.1888,0.156356975,0.212620864,0.191613136
0.4067,0.527668715,0.418,0.096909747,0.435840715,0.313947284
0.5478,0.643087626,0.5584,0.082197607,0.546278524,0.398182304
0.6386,0.444231838,0.6543,0.094594836,0.703404483,0.306122465
0.6504,0.497035325,0.6701,0.102840483,0.685733890,0.320426659
0.6311,0.564896762,0.647,0.105240457,0.659353322,0.301976025
0.5093,0.640720606,0.5124,0.067702353,0.548596020,0.386471408
0.299,0.400899559,0.316,0.140837073,0.321294631,0.264227307
0.0553,0.538941324,0.1148,0.161545038,0.081590355,0.346662617
0.0,0.923362017,0.0,0.168319955,0.000000000,0.542495249
0.0,0.840292275,0.0,0.248747885,0.000000000,0.555849103
0.0,0.243614614,0.0,0.357263148,0.000000000,0.279462231
0.0,0.643543959,0.0,0.407699734,0.000000000,0.513874031
0.0,0.796087563,0.0,0.559159398,0.000000000,0.678287029
0.0,0.903208315,0.0,0.730784357,0.000000000,0.848915609
0.0,0.935438216,0.0,0.753751397,0.000000000,0.888629405
0.0,0.997932076,0.0,0.818970919,0.000000000,0.895825694
0.0,0.982208312,0.0,0.724056244,0.000000000,0.852669464
0.0,0.986259937,0.0,0.717351198,0.000000000,0.852843232
0.0,0.994179308,0.0,0.723726153,0.000000000,0.864107912
0.0,0.966724813,0.0,0.723625481,0.000000000,0.869973779
0.0,0.938414276,0.0,0.731772125,0.000000000,0.857725787
0.0,0.819656253,0.0,0.790290594,0.000000000,0.821999154
0.0,0.804335475,0.0,0.554285526,0.000000000,0.727255703
0.2056,0.796525359,0.1964,0.616902471,0.196742749,0.733614003
0.4097,0.6475963,0.35,0.659731388,0.410745726,0.699879558
0.5584,0.803939998,0.4004,0.512989461,0.482347436,0.703712123
0.4656,0.813347638,0.5397,0.467998236,0.505696310,0.644207893
0.5802,0.786184669,0.5759,0.373288602,0.604402218,0.595610578
0.5964,0.809754848,0.508,0.438009381,0.576323503,0.654107611
0.5111,0.920710862,0.4839,0.587767482,0.521200433,0.794385591
0.3605,0.424674869,0.3378,0.65806514,0.328273491,0.555078822
0.1202,0.673590124,0.1348,0.666335702,0.132099488,0.710605790
0.0,0.722590208,0.0,0.702498555,0.000000000,0.742387368
0.0,0.807032704,0.0,0.735339999,0.000000000,0.783008296
0.0,0.794338346,0.0,0.639792442,0.000000000,0.761655074
0.0,0.920866907,0.0,0.592087984,0.000000000,0.788430633
0.0,0.775906444,0.0,0.523823261,0.000000000,0.644388545
0.0,0.790116549,0.0,0.516953051,0.000000000,0.688763189
0.0,0.313982964,0.0,0.425170183,0.000000000,0.415764750
0.0,0.228863105,0.0,0.42695722,0.000000000,0.356475390
0.0,0.186610132,0.0,0.299720883,0.000000000,0.267643828
0.0,0.168072969,0.0,0.244982213,0.000000000,0.189843232
0.0,0.099481188,0.0,0.266644388,0.000000000,0.194544235
0.0,0.07131198,0.0,0.336548865,0.000000000,0.207954071
0.0,0.141474232,0.0,0.403077483,0.000000000,0.280702695
0.0,0.174716681,0.0,0.409066558,0.000000000,0.275818463
0.0,0.109989181,0.0,0.39652282,0.000000000,0.278581912
0.1584,0.090794012,0.1776,0.398093283,0.162342943,0.245644711
0.3603,0.030788897,0.3604,0.361599565,0.379423150,0.198700467
0.4586,0.016659057,0.4766,0.296996891,0.487765257,0.144922974
0.4847,0.026496863,0.5273,0.182485133,0.525831829,0.118160067
0.5907,0.016100235,0.6539,0.123761773,0.634584900,0.045865755
0.7654,0.063318081,0.7914,0.1468952,0.811107719,0.091463755
0.5757,0.212307662,0.5949,0.240729049,0.600118013,0.224292713
0.4019,0.184758514,0.4277,0.319725215,0.434009308,0.266758805
0.1541,0.409239978,0.1815,0.499451488,0.179182038,0.476647932
0.0,0.85537678,0.0,0.735057831,0.000000000,0.838032618
0.0,0.717418909,0.0,0.768220544,0.000000000,0.748016128
0.0,0.363580614,0.0,0.875060856,0.000000000,0.621460560
0.0,0.317670733,0.0,0.820344567,0.000000000,0.589228446
0.0,0.271577805,0.0,0.910065353,0.000000000,0.611128051
0.0,0.311569244,0.0,0.957307518,0.000000000,0.658816490
0.0,0.221334517,0.0,0.946516454,0.000000000,0.624307884
0.0,0.171090662,0.0,0.934381068,0.000000000,0.560814155
0.0,0.079606064,0.0,0.913996696,0.000000000,0.479623970
0.0,0.189559758,0.0,0.945908904,0.000000000,0.580327168
0.0,0.259287894,0.0,0.926405728,0.000000000,0.616005235
0.0,0.127237305,0.0,0.849615216,0.000000000,0.537061104
0.0,0.17743887,0.0,0.885867298,0.000000000,0.527783648
0.0,0.27053991,0.0,0.903562665,0.000000000,0.595765296
0.0,0.18752566,0.0,0.900292158,0.000000000,0.547558806
0.1709,0.695573568,0.1778,0.789421737,0.187469734,0.777831565
0.3428,0.131348357,0.3614,0.802557707,0.388741984,0.504944715
0.4545,0.239212155,0.4885,0.730632544,0.490908844,0.554382635
0.5223,0.310001045,0.5863,0.699638247,0.574650679,0.500780391
0.5971,0.416327089,0.5876,0.509494543,0.620893952,0.497293520
