Province,Capacity_ton_per_h,Share_percent,Capacity_10kt_per_year,RegionGroup,Basis
Anhui,155.33861616,7.55981265,136.07662775,East,Total1800_10kt_2025_with_regional_assumptions
Beijing,2.68726046,0.13078001,2.35404016,North,Total1800_10kt_2025_with_regional_assumptions
Chongqing,14.89314183,0.72479957,13.04639224,Southwest,Total1800_10kt_2025_with_regional_assumptions
Fujian,106.36980316,5.17666375,93.17994757,East,Total1800_10kt_2025_with_regional_assumptions
Gansu,15.49767651,0.75422026,13.57596462,Northwest,Total1800_10kt_2025_with_regional_assumptions
Guangdong,249.20247576,12.12785382,218.30136876,South,Total1800_10kt_2025_with_regional_assumptions
Guangxi,176.15038535,8.57265209,154.30773757,South,Total1800_10kt_2025_with_regional_assumptions
Guizhou,24.71291140,1.20269502,21.64851038,Southwest,Total1800_10kt_2025_with_regional_assumptions
Hainan,26.70193341,1.29949409,23.39089367,South,Total1800_10kt_2025_with_regional_assumptions
Hebei,111.15037499,5.40931825,97.36772849,North,Total1800_10kt_2025_with_regional_assumptions
Heilongjiang,9.81651524,0.47773708,8.59926735,Northeast,Total1800_10kt_2025_with_regional_assumptions
Henan,118.54644553,5.76926035,103.84668628,Central,Total1800_10kt_2025_with_regional_assumptions
Hubei,98.98177911,4.81711325,86.70803850,Central,Total1800_10kt_2025_with_regional_assumptions
Hunan,111.23889866,5.41362640,97.44527522,Central,Total1800_10kt_2025_with_regional_assumptions
InnerMongolia,33.83688542,1.64672842,29.64111163,North,Total1800_10kt_2025_with_regional_assumptions
Jiangsu,167.17213728,8.13571068,146.44279225,East,Total1800_10kt_2025_with_regional_assumptions
Jiangxi,109.81056468,5.34411415,96.19405466,East,Total1800_10kt_2025_with_regional_assumptions
Jilin,9.09565641,0.44265528,7.96779501,Northeast,Total1800_10kt_2025_with_regional_assumptions
Liaoning,22.18371876,1.07960765,19.43293763,Northeast,Total1800_10kt_2025_with_regional_assumptions
Ningxia,6.50409576,0.31653266,5.69758788,Northwest,Total1800_10kt_2025_with_regional_assumptions
Qinghai,4.02721285,0.19599103,3.52783846,Northwest,Total1800_10kt_2025_with_regional_assumptions
Shaanxi,22.37082551,1.08871351,19.59684315,Northwest,Total1800_10kt_2025_with_regional_assumptions
Shandong,174.83140452,8.50846169,153.15231036,East,Total1800_10kt_2025_with_regional_assumptions
Shanghai,4.36413489,0.21238790,3.82298217,East,Total1800_10kt_2025_with_regional_assumptions
Shanxi,52.63878221,2.56175407,46.11157322,North,Total1800_10kt_2025_with_regional_assumptions
Sichuan,33.14946344,1.61327389,29.03892998,Southwest,Total1800_10kt_2025_with_regional_assumptions
Tianjin,5.16614897,0.25141925,4.52554650,North,Total1800_10kt_2025_with_regional_assumptions
Tibet,0.00000000,0.00000000,0.00000000,Southwest,Total1800_10kt_2025_with_regional_assumptions
Xinjiang,13.24402499,0.64454255,11.60176589,Northwest,Total1800_10kt_2025_with_regional_assumptions
Yunnan,29.98420936,1.45923152,26.26616740,Southwest,Total1800_10kt_2025_with_regional_assumptions
Zhejiang,145.12703794,7.06284918,127.13128524,East,Total1800_10kt_2025_with_regional_assumptions
