Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,20676.52097,16312.14386,72610.66898,46538.38043,64178.39903,41332.77633,14241.70642,16614.96982,26240.94139,137550.5581,109839.8193,53628.7553,36984.0048,26466.59805,120895.9235,47935.50509,40595.27022,33843.72081,117891.278,32860.5043,6095.792542,21052.85777,57577.94437,25279.73297,29443.93736,2120.608787,36693.28085,24160.09248,14552.89163,20193.32616,54414.12133
2,19618.74599,15611.52151,70926.19064,45584.70519,63560.02846,39855.49099,13800.08298,15793.65201,25552.44647,136404.391,103073.9907,53088.84219,34140.96374,24760.72601,117627.3111,47405.09254,36953.54289,29457.34848,110034.977,30475.57736,5337.913922,19473.53842,54629.47342,23643.53011,27781.09851,1960.298831,35388.50726,22896.80209,14370.66685,20613.54998,53804.37238
3,19198.58419,15408.26672,67660.28986,44165.57045,63439.16626,39528.54877,13256.98518,15487.27586,23934.0671,130068.7102,98019.63561,52033.0898,32915.46757,24508.99769,115435.1629,47903.16342,35203.14052,28832.18414,101633.4556,27456.8855,4756.986394,18398.37362,52671.85669,23123.88354,26961.98537,1879.395122,34224.10933,22811.5698,14084.25649,20466.33894,52944.58501
4,19047.8292,15236.65322,65539.46857,44192.43829,63409.03167,39636.67714,13382.46112,15190.9689,22867.26559,126078.6794,93991.94513,51163.09852,31375.33786,24269.22797,113575.0011,47063.97655,33516.25858,27340.30413,92842.04969,25695.66204,4282.109081,17632.21694,50672.7548,22339.62442,26300.08037,1800.783551,34235.99875,22734.14616,14139.99218,20613.51208,52697.77592
5,18619.62339,15036.81989,64458.35401,43928.48015,64067.26159,39631.02894,13499.45557,15471.39655,22847.33423,124427.8144,90623.37696,51159.059,30954.14091,25487.35962,110974.43,46796.25376,33345.13664,26807.57684,88474.0139,24818.44115,3944.801229,17088.67579,49691.78556,22347.23272,25836.2079,1725.245883,33655.88942,22437.41077,14105.58584,20753.6518,52695.01823
6,19026.68258,15134.65437,64382.23943,43928.60557,64916.55029,40205.48694,13873.30817,16594.31719,24245.19516,124284.5585,88351.44298,51160.42036,30817.76937,28093.98779,114002.9787,46506.12397,34181.77944,25116.05894,83092.38762,24085.7389,3756.383165,16529.1039,49666.30749,23124.91481,26802.60804,1711.968886,34251.59795,23193.15243,14594.07064,20963.9304,52522.90037
7,19893.76792,15432.02677,66869.41948,44020.77011,66202.76129,41578.84364,15415.76485,20084.51795,26471.79455,126489.8346,90621.26655,53588.80789,32217.65221,30376.64347,119858.1378,48497.2039,34110.85356,26781.31238,79761.32287,25821.64152,3995.568216,18069.37373,53063.56506,28025.11527,29413.77654,1725.881466,36644.9105,24394.72456,14905.55398,21033.87686,52665.02164
8,20927.74595,16339.63705,79628.3547,45043.69364,67241.16123,40985.89674,16223.04928,21115.52452,27399.41124,120486.4162,84062.59675,58066.50038,35808.43468,31966.61812,122842.6108,50526.30193,38740.11903,37394.72779,75869.95114,29518.49268,4346.54382,19917.86056,53643.2497,32315.72477,33634.76711,1896.01008,40534.11733,25320.76089,15176.13256,20641.65661,52600.88033
9,22167.8398,16743.87888,77423.60677,46539.29313,66995.71909,39699.86876,16557.15864,20457.81504,29032.34714,97751.35852,79323.86499,54742.11886,39645.09516,34530.97906,123063.1761,60881.87664,41846.81765,35968.6334,72166.45667,31190.19985,4689.617169,21494.98801,58224.22659,37301.48404,37856.53598,2120.020385,41637.6338,25112.77012,14365.60695,20060.99745,53017.29928
10,23095.1363,17395.44299,78057.30126,49148.26358,67582.3151,40694.19875,16592.97728,20525.12867,32025.40839,96598.34675,82760.4583,51129.65647,42596.15931,36746.88456,123063.1761,63355.7089,43441.9047,36554.80475,76043.34974,34191.18956,5570.7667,23183.43376,64374.57641,38835.91752,40379.96195,2359.245121,42387.90746,25640.00781,13713.35347,19446.92191,53119.73067
