ProvinceCN,Production_10kt_2025,Source
山东,3213.12,National Bureau of Statistics
山西,2071.94,National Bureau of Statistics
广西,1684.18,National Bureau of Statistics
河南,917.64,National Bureau of Statistics
贵州,612.39,National Bureau of Statistics
重庆,486.37,National Bureau of Statistics
云南,134.00,National Bureau of Statistics
内蒙古,101.08,National Bureau of Statistics
甘肃,13.72,National Bureau of Statistics
湖北,5.67,National Bureau of Statistics
江西,2.84,National Bureau of Statistics
广东,0.84,National Bureau of Statistics
浙江,0.53,National Bureau of Statistics
河北,0.24,National Bureau of Statistics
