Province,Region,Period,Year,WeightSource,ScrapMid_Mton_per_year,Weight_ScrapShareInput,WeightShare,MaxSupply_ton_per_h,ImpliedTotal_288h_tons
Beijing,Region1Beijing,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.02864176,0.0012028392316344228,1.5395773587450223,443.39827931856644
Tianjin,Region2Tianjin,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.055062619,0.0023124095142805115,2.95977487157226,852.4151630128109
Anhui,Region12Anhui,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.417408174,0.059525467671208414,76.18978487322444,21942.65804348864
Shanghai,Region9Shanghai,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.039821138,0.001672328342766936,2.140501228425245,616.4643537864705
Chongqing,Region22Chongqing,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.651578201,0.02736367536913163,35.0242110020967,10086.97276860385
Fujian,Region13Fujian,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.970585629,0.04076070996411439,52.17178201101106,15025.473219171185
Gansu,Region28Gansu,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.471244322,0.01979037455053616,25.33074394130629,7295.254255096212
Guangdong,Region19Guangdong,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.714234545,0.07199098669037743,92.14505997747958,26537.77727351412
Guangxi,Region20Guangxi,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.2117178,0.05088729559600225,65.13333294002635,18758.399886727588
Guizhou,Region24Guizhou,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.08119526,0.04540587155905155,58.11736927753176,16737.802351929146
Hainan,Region21Hainan,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.183679462,0.007713801908091687,9.873301813913205,2843.510922407003
Hebei,Region3Hebei,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.184679495,0.04975179505375564,63.67994592062384,18339.824425139665
Heilongjiang,Region8Heilongjiang,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.24072257,0.01010938403002691,12.939533691746378,3726.585703222957
Henan,Region16Henan,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.175605239,0.0493707126372179,63.19217844107453,18199.347391029463
Hubei,Region17Hubei,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.98158572,0.04122266973915436,52.76306868640164,15195.763781683672
Hunan,Region18Hunan,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.103137521,0.04632735865906083,59.296829207203466,17077.486811674597
InnerMongolia,Region5Innermongolia,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,0.360645336,0.015145660002973918,19.385728874293726,5583.089915796593
Jiangsu,Region10Jiangsu,1,2025,aluminum_scrap_share_weights.csv,11.21238591817513,1.525384735,0.06406005086957917,81.99383701913834,23614.225061511843
