Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,21122.311429034722,14636.221485241724,65644.24865642417,46273.748353755516,63260.49437353244,42329.067085644274,13389.027975751644,16211.95011024814,27822.680354708216,128036.89762828335,87406.112764714,44747.02767366456,39640.98079097,31422.132786147897,129314.39098210091,57737.12768967899,40508.40511949297,39388.13665486515,124435.47696000991,46757.11060986367,7043.8572596647045,26890.572126106763,74028.93786993755,36050.000673884446,38053.462146138234,2619.778686244326,64541.60077241432,44207.36064857536,26514.572056856927,38935.78735426795,100127.14174732256
2,18589.64954464934,14644.499953668255,57085.57121186407,44322.90679101468,62200.64756913221,41612.582043672526,13086.227782499316,16336.647774259158,25841.25176822698,126904.42829003611,82409.87063143955,41671.91387812686,37080.976949118725,30872.73304488567,128184.05212133755,58289.69047800286,38691.91716549699,38627.52739816665,118879.50049562524,45592.73446960207,6664.961991902157,26107.108463512883,72356.5957617253,35009.79241643299,37121.44946214935,2561.6017765478387,63653.61472783043,43846.99543495195,26419.758138523728,38856.885188021624,99901.42908327135
3,18458.139762308594,14254.491247759068,57470.19632449447,46009.666653084205,61812.67071200212,41619.11797311477,13005.148068387069,16083.885258577768,22701.82056159348,122871.2883517441,79182.3719025523,40621.09498583199,35483.914810889604,30401.78842538652,126971.09077056168,56636.49144636715,36889.37756508398,38307.65832653605,113395.8473843202,44753.28778266867,6402.242108176307,25993.29572604303,70918.31001395003,34275.1586040917,35717.407076645126,2519.6104679312402,63007.87036047095,43772.563079117164,26250.765030774342,38782.64444760792,99390.37507254648
4,19181.51562731179,14223.6171638862,63589.10640065685,45986.102276544356,62091.096953176806,41927.48125065639,12968.918512090297,16051.15740481559,21784.02135252005,120052.06316441795,77389.95926276426,39999.63383540037,34831.675100806475,29760.759680018393,125158.94273686713,55541.88281384439,34390.12542956582,38083.28180480987,110681.60886398655,44388.598103868164,6375.8194658328175,25918.685937188322,70224.38300976079,33769.06736393954,34777.207038567656,2492.40773478258,62587.343745591235,43695.15573291844,26374.358323810604,38667.075119521425,98366.62281769654
5,19806.388141297477,14126.234195608513,64952.35170450031,46000.40230863257,63652.463340114125,42878.34062061921,13266.163155851395,16494.50730799936,21713.770979562767,118805.35122724628,77282.34296709155,40291.614906531846,34751.12581231011,29682.61944880368,129072.94199724877,55541.88281384439,37248.74831816757,38219.30808855748,107986.02174526562,44224.257449996454,6502.395172985281,27260.3387121542,71090.25703568722,33920.846913253525,35247.73358603365,2495.4225423465427,62634.035941581074,44091.75757926895,26369.958020210044,38722.919053310274,96898.79291398695
6,20924.889143574743,15240.169229814832,68750.45250676459,47053.204631848545,68208.10281998673,45846.445841757435,13779.866718710471,17682.893768927526,21875.432469034546,119299.02218969946,79759.40849124358,42427.68884262308,36307.40398779377,31166.763946793704,133507.55072804217,56088.43050627926,40508.40511949297,38774.35427103138,110681.60886398655,45282.06583531781,6836.908699315824,30030.57330572645,75269.08628424117,33718.483333803655,36186.241755740026,2591.476259554699,64110.559421572485,44847.113873378396,26596.577239557933,38991.72839813358,98366.62281769654
7,23064.234610686344,16813.43736435787,74092.01362641699,49014.50557915578,73651.05203847232,46013.142359291436,15036.434945780491,19915.567405931808,23749.021565378167,127458.51485146944,88813.40335599333,47540.08191799965,40687.12065291578,35584.82824310907,141776.19422258067,59956.283848876956,43442.75385379462,39195.483962682156,118879.50049562524,48233.15506856093,7271.590637144601,32516.284598813487,78033.750263245,34477.72201935168,37121.44946214935,2824.144937021967,67602.78997855872,46096.53013610141,27354.158114547037,39500.57074432034,98878.77432038743
8,26028.453470624187,19157.781486230702,78397.7293599452,49473.376260218334,72963.5302889342,46663.091557633205,15889.661771840372,20802.47346861919,28191.45711166707,139756.70204832018,106282.69272110141,53072.504907267954,45756.90761482506,40705.243249061816,143111.90154134933,65606.28180943153,48656.5158403153,42041.95346023346,159215.03270873378,51104.03091416125,8064.5441623404795,37465.68245005077,73373.23575056395,37651.8960282124,39445.706027207576,2959.4639713679776,69583.11472369867,46461.546845261975,27256.94506635264,38312.75565799327,100921.91264910967
9,28748.186958905062,22426.344711902286,84438.74962267876,49638.51612229348,74132.53267648116,48317.21259498658,15949.014745640554,20712.01028943774,34047.811793950306,147185.3762354195,120282.05480034901,55354.1062285403,49771.413774835266,46805.47045715098,145123.9530410822,69064.50545514167,53964.13438950795,45168.22134437729,202679.7237333174,53195.17378379882,8876.667890644208,39566.06538907932,78965.49755005536,39257.922667799234,45405.36690351305,3310.1259453616117,74559.81579054573,47864.843136146344,27425.977038758727,39160.58895879648,101940.25603434192
10,30701.585859516465,23731.14002677121,86843.46104829192,52058.54924072689,76754.80060395575,49870.77766547109,16287.255555795105,20988.987633156077,40820.76098972378,155194.52949503774,128696.60152777749,56049.737670357805,52354.599084072695,49066.79236130698,144808.95771049135,75533.11868814303,55881.22828332639,46100.38836908943,218898.71745115324,53821.33815003511,9447.247217114043,41891.907115823866,81788.82312391381,44485.021963573556,46765.15172968499,3399.051856391931,75789.21594984476,48234.75301925238,27273.35375382574,39297.70986488917,102901.66624217854
11,32058.80956578138,24260.031833237426,90693.00586248189,52581.52348186947,78032.35354574831,47611.55569645906,16409.75697100943,21029.99299768519,43817.015530366356,164926.1677609836,132138.36300076108,57639.002529445344,55279.10996281394,51039.79938475172,147031.22689318997,77925.57387444285,57422.76383132539,50201.98440694333,228797.14495766239,54761.24593031358,9655.973616923018,40476.814868717905,88650.79710382251,46055.478446102075,47217.212716962465,3412.6377249649145,75975.94972235386,48116.026473018705,27433.06832267336,39498.188105644615,104476.94751497752
12,30088.19425008654,21380.699709200977,86361.71734895658,52607.81211759614,78060.54656070567,45369.87290507873,16473.99876141094,20889.687486937546,41737.37192785809,161537.77003777213,115003.16443747276,57197.164604841164,53262.99369715956,50179.73684864022,145567.54750272795,81700.39981815027,55113.06848923068,45622.03925052746,186819.05235599677,53759.692697443745,9371.054282763364,40331.89093649393,92650.50097901766,46958.03095863646,45405.36690351305,3323.6479229287343,74747.5654042174,48412.18756268053,27587.81708332633,39383.59360965671,104087.6442389051
13,28814.390470076756,21154.643328212805,81504.18286884617,49033.202721516245,72709.5815875958,46308.9013009093,15635.388405984851,20262.60682455519,38391.20678030622,143739.73212872943,113846.29374529702,53831.70417018031,48588.090863270256,45549.764498664554,143553.4676415167,79733.71010022829,52058.19936906485,44694.163869642034,177479.9844643139,51729.26429177953,8750.76377829079,40645.111679529895,84639.69015206156,46390.58855077638,44950.87937042171,3167.78101550707,72565.21937143766,47173.506964799526,27596.481855682057,39625.93629790212,102480.64490370933
14,28979.903442102277,22570.024149512145,85418.21292677619,50629.287083274794,71675.37310590417,47569.97748933867,15883.917423243476,20663.384453287123,39263.225307474546,154631.78420854398,120399.5633302135,54022.30732233512,47697.24670109903,46133.70287843858,146068.7565354892,73161.94665060095,52438.48080377562,44849.87942429759,209125.008602563,52012.20027633933,8687.637729398917,41515.793416812085,85965.56249736746,44819.432465725266,45859.23632361966,3163.228621822813,72500.86906220668,46634.60138183209,27493.581452374936,39826.339554882914,101685.86916454829
15,29093.187619908374,21974.43892324443,86760.07316289486,50880.97534238699,73725.99102819373,50011.2676585427,16116.564517758043,20859.02394731249,38730.742444667456,156716.013925723,119695.39152083735,54461.712933885035,49125.17235768968,46766.80582278929,147851.97870329485,75533.11868814303,53964.13438950795,43393.076299938526,222184.4557476946,52977.062361113625,8895.99706097218,41567.02801037037,89628.94540586443,44022.24299768936,46312.49540267836,3186.11653929499,72824.04307428941,46507.035765135995,27145.32816183486,39836.62743128596,100921.91264910967
16,29858.46882164936,22370.12098037693,88392.14762264524,50981.85863801948,76613.68420094726,52129.49414502527,16252.288279581531,21419.408930156827,38756.03649051019,157344.00734871833,119764.04540444081,55697.160574985915,50566.40543073684,47315.17879457027,154591.03546244453,76129.24852424893,55881.22828332639,45271.21605223729,225483.9609650869,53237.577446161195,9275.5892974113,42512.46338561607,90489.91105100857,44562.18017342064,46765.15172968499,3209.186256859869,73148.88532196276,46522.17956653694,26340.24663890798,39659.17930297003,103565.22897406817
17,31818.333842355318,23681.506410288363,96158.2877307438,53025.53509417623,82332.18397056112,56521.11599362101,16911.777026459735,23710.99002847309,40547.302595565205,159780.75194638217,117901.03511656013,58319.35587594619,53822.2156168821,51096.64314624931,157647.43905697198,74938.31899733662,59747.872940588386,49471.46271328082,235464.20403893196,55809.1438934858,10182.174954114977,44588.42840904627,93461.35640071542,43379.98255620435,47668.68560614832,3382.1974844157057,75557.15968702662,48165.35549984119,27152.067630823436,40791.05493871252,105891.90292646986
18,33287.87580346198,23134.83180104662,101829.2059494181,55905.736139076376,85346.70691522685,52073.91508444584,18309.223527833154,23015.984547695894,41912.040562651426,160052.80884691325,113140.14209003924,61593.97667181121,60887.76569197086,51921.18006739812,165858.19118768635,81700.39981815027,66817.72744280871,54243.33901268303,218898.71745115324,57358.6475530271,11004.512193155573,42976.43289552758,102442.81755061852,46313.24242285002,49468.83535429309,3616.7354051584684,78747.81401584843,50350.8511801022,27864.18978513154,41554.48272347804,107252.61195538552
19,32654.437992268715,21748.75975874622,91756.1006480743,54449.903647773484,85320.62301179962,50878.466421643694,17472.195172524735,22845.739109570757,40855.49179612637,161221.83432106412,109458.33045927789,64112.119013418196,62452.35798766689,51026.370632063736,156661.76125863413,92113.2761770435,64512.67604399802,51405.3356089275,249097.5368728095,58209.65697144407,11484.070918192016,39131.514865554396,113202.59967192818,47758.31190989604,51491.31811072349,3697.337001049545,79825.87732433606,50898.79058026673,28450.615515640977,40833.20577187592,108863.18384688594
20,31888.719100362443,20919.059408662717,89697.06585396429,53154.582936190745,81358.02284710633,48139.17282094407,17056.558309089436,22153.229845292422,40062.16261088759,158098.90165054685,105354.48723702601,59027.58236358505,56734.60340153798,48900.842356686415,145403.22221426238,87299.32218588641,62629.911784807045,48074.67750555512,232123.92105836605,57013.60001966215,11086.780274463095,38125.5871460177,97795.83299585419,48845.15540692073,49917.470790510815,3570.410952699409,78124.0498218242,50048.803761310584,27833.30829882766,40634.39248516003,112428.06105972425
21,30610.642857457417,20683.47927300519,86647.14694097331,52681.36738402987,81973.38708886421,46145.57729528833,16569.71909711871,21227.14769205085,38883.01683850147,153471.7967753515,101193.68341980762,55154.50057393341,54140.60921230697,45837.73708990518,142407.38657934207,83384.95092608151,58971.14942081862,44692.484370241385,222184.4557476946,56202.176957983575,10451.935850158115,35088.99406347685,93057.53507481712,46880.62792558542,49468.83535429309,3448.398568638788,76466.1156883983,49307.27124810527,27855.269906902187,40469.08079347675,109512.53903040444
22,28599.179231330883,18710.676678727326,80159.03770612561,51092.3707650577,77675.85335288024,46807.96068668277,15937.09983075809,20147.01167552226,37770.11690070911,152134.86144241513,99970.33210677281,50973.81039131034,52759.5858799735,42079.985917015554,131207.84671476582,78526.97946245257,53964.13438950795,44042.004374932505,186819.05235599677,54509.50598573757,9783.48434171015,32201.90987422514,82554.77974717286,46313.24242285002,49019.64565968514,3221.036245811083,73315.3958994798,48240.203215428686,27471.945775959088,40151.94725161532,104242.05001910748
23,25567.20632193034,16821.846320887173,73768.3162461052,48503.570929696165,71293.94188960138,44901.875910971066,15014.21797643591,18291.92157124267,34638.70631099548,149934.13742659971,98866.96746625741,48176.10809466307,49429.08047542807,36638.61919678636,128616.89993259241,70228.36337198694,52058.19936906485,43438.69576402681,159215.03270873378,51529.288202944954,8924.97067066285,30786.876650727023,75327.8399309576,44845.16261297225,44040.0179231258,2950.796609625056,69457.32664676794,46442.30325864762,26983.61666473781,40168.63031011915,101685.86916454829
24,22570.42391715787,15870.682716074429,68638.56389633469,46790.91835247577,65927.51592674757,43157.91564837824,14162.230999398684,17026.649398436886,31378.396515347264,135789.4735535373,92965.7073582291,46818.8863964903,44274.03747208916,33620.45432963558,127681.72587218908,64464.79562522345,41971.35329523533,40735.15763346804,135758.76959158058,48230.08993788133,7815.859979545125,28169.811500226275,76268.37665565648,41635.96163442286,39908.293729157616,2727.2833983539194,66162.8763624074,45130.00307044448,26652.38784234188,38930.90802224032,99972.93324061041
