Province,Region,Year,Scenario,ScrapMid_Mton_per_year,Weight_Demand_ton_per_h,WeightShare,MaxSupply_288h_tons
Beijing,Region1Beijing,2025,mid,15.254946827449157,0.02864176,0.0012028392316344228,603.262965059274
Tianjin,Region2Tianjin,2025,mid,15.254946827449157,0.055062619,0.0023124095142805115,1159.7485211058652
Anhui,Region12Anhui,2025,mid,15.254946827449157,1.417408174,0.059525467671208414,29853.956521753254
Shanghai,Region9Shanghai,2025,mid,15.254946827449157,0.039821138,0.001672328342766936,838.7270119543816
Chongqing,Region22Chongqing,2025,mid,15.254946827449157,0.651578201,0.02736367536913163,13723.772474290954
Fujian,Region13Fujian,2025,mid,15.254946827449157,0.970585629,0.04076070996411439,20442.820706355356
Gansu,Region28Gansu,2025,mid,15.254946827449157,0.471244322,0.01979037455053616,9925.51599332818
Guangdong,Region19Guangdong,2025,mid,15.254946827449157,1.714234545,0.07199098669037743,36105.8194197471
Guangxi,Region20Guangxi,2025,mid,15.254946827449157,1.2117178,0.05088729559600225,25521.632498949104
Guizhou,Region24Guizhou,2025,mid,15.254946827449157,1.08119526,0.04540587155905155,22772.520206706322
Hainan,Region21Hainan,2025,mid,15.254946827449157,0.183679462,0.007713801908091687,3868.7223434108887
Hebei,Region3Hebei,2025,mid,15.254946827449157,1.184679495,0.04975179505375564,24952.142075019954
Heilongjiang,Region8Heilongjiang,2025,mid,15.254946827449157,0.24072257,0.01010938403002691,5070.184630235316
Henan,Region16Henan,2025,mid,15.254946827449157,1.175605239,0.0493707126372179,24761.01685854349
Hubei,Region17Hubei,2025,mid,15.254946827449157,0.98158572,0.04122266973915436,20674.5085465084
Hunan,Region18Hunan,2025,mid,15.254946827449157,1.103137521,0.04632735865906083,23234.675934251154
InnerMongolia,Region5Innermongolia,2025,mid,15.254946827449157,0.360645336,0.015145660002973918,7596.040701764073
Jiangsu,Region10Jiangsu,2025,mid,15.254946827449157,1.525384735,0.06406005086957917,32128.19736260115
Jiangxi,Region14Jiangxi,2025,mid,15.254946827449157,1.001981322,0.042079203354351245,21104.0879905331
Jilin,Region7Jilin,2025,mid,15.254946827449157,0.223045524,0.009367018881090311,4697.864382336822
Liaoning,Region6Liaoning,2025,mid,15.254946827449157,0.543993633,0.022845554307128414,11457.787929825074
Ningxia,Region30Ningxia,2025,mid,15.254946827449157,0.197772756,0.008305663823216946,4165.560328433181
Qinghai,Region29Qinghai,2025,mid,15.254946827449157,0.122457143,0.005142709658703468,2579.23602386402
Shaanxi,Region27Shaanxi,2025,mid,15.254946827449157,0.680239034,0.028567315590393258,14327.437161679183
Shandong,Region15Shandong,2025,mid,15.254946827449157,1.595272753,0.06699506777746377,33600.203725366424
Shanxi,Region4Shanxi,2025,mid,15.254946827449157,0.561042515,0.023561539083381895,11816.877563502114
Sichuan,Region23Sichuan,2025,mid,15.254946827449157,1.450296251,0.06090663521358757,30546.65693004233
Tibet,Region26Tibet,2025,mid,15.254946827449157,0.0,0.0,0.0
Xinjiang,Region31Xinjiang,2025,mid,15.254946827449157,0.402716599,0.0169124845857094,8482.160649042751
Yunnan,Region25Yunnan,2025,mid,15.254946827449157,1.311815695,0.05509100637041077,27629.930066343422
Zhejiang,Region11Zhejiang,2025,mid,15.254946827449157,1.32423125,0.05561240996559888,27891.430914131983
TOTAL,,2025,mid,15.254946827449157,23.811794001,1.0,501532.4984366846
